seed,alpha,groups,margin,truth,v_unif,v_star,ratio
100,0.05,21,0.00011792709701924364,0.8867742919934445,2.048488563430066,0.6479879819314538,3.1613064139309324
100,0.1,21,0.04792940678868238,1.192797510511626,6.074779824545576,2.6649401966594968,2.279518254165821
100,0.2,21,0.05207059321131763,1.476575238284107,8.884781134509842,4.556682645832023,1.949835401119433
101,0.05,21,0.023024019734004957,0.7014677962824695,5.81145920018242,3.276158117545531,1.7738640784945734
101,0.1,21,0.011037527738638364,0.8507338981412347,1.452864800045605,0.8190395293863828,1.7738640784945734
101,0.2,21,0.08348487073329319,1.1477731297240215,4.075597095503396,2.3734007328257007,1.7171972011027026
102,0.05,21,0.013839951828633512,1.0728314867396729,13.466552934938061,5.915177457683464,2.276610132371567
102,0.1,21,0.026098239297329046,1.2864157433698364,3.3666382337345153,1.478794364420866,2.276610132371567
102,0.2,21,0.07390176070267096,1.5779622734415957,6.9053860507306135,3.2127301091509106,2.1493825550617545
103,0.05,21,0.016843335375480967,0.780515865840521,4.036791740405784,1.905530446390613,2.118460897883909
103,0.1,21,0.033156664624519036,1.0560412560428556,10.322893743393005,4.981790920192291,2.072125046748159
103,0.2,21,0.03797184648421659,1.3729502442319692,12.588615998050997,6.294137626641101,2.0000541368474933
104,0.05,21,0.013115742113355006,0.8259447789270892,2.6678004605785213,1.4497046293269835,1.8402372501335194
104,0.1,21,0.036884257886645,1.0973936788967695,8.293481891570401,4.460636412289463,1.8592597838104663
104,0.2,21,0.022037663456066614,1.3537909980885514,11.965891725045777,6.582033212555679,1.8179628298167836
105,0.05,21,0.019941498838951605,0.34441301253447587,1.7887514660361412,0.8620234171759565,2.0750613387002925
105,0.1,21,0.030058501161048398,0.57249901207248,8.537235499884611,3.7799177422491725,2.2585770596173558
105,0.2,21,0.006480101754148537,0.8024497604216113,14.571473179714552,6.2058154090008815,2.3480352249246996
106,0.05,21,0.021499717291801425,0.6775490382453896,5.982643964109997,3.5175552407551645,1.7007960229860146
106,0.1,21,0.0002679688525061008,0.8387745191226947,1.4956609910274992,0.8793888101887911,1.7007960229860146
106,0.2,21,0.045968157403553284,1.168717337430082,3.540861953820903,2.1984464161626054,1.6106200850696593
