environment,alpha,budget_per_group,budget_unit,budget_value,total_budget,comparison,replications,mean_difference,se,ci95_low,ci95_high
controlled_untied_v1,0.1,595.2380952380952,total,12500,12500,local_only-minus-tis,400,0.0007728021615683392,8.904117242594687e-05,0.0005982814636134833,0.000947322859523195
controlled_untied_v1,0.1,595.2380952380952,total,12500,12500,oracle_tail-minus-tis,400,-0.00016892924436407025,3.419310389288466e-05,-0.00023594772799412418,-0.00010191076073401631
controlled_untied_v1,0.1,595.2380952380952,total,12500,12500,reachability_only-minus-tis,400,-8.335775954205548e-05,4.3308239642757325e-05,-0.00016824190924185983,1.5263901577488806e-06
controlled_untied_v1,0.1,595.2380952380952,total,12500,12500,uniform-minus-tis,400,0.0002980113112250833,6.634599885193201e-05,0.00016797315347529654,0.00042804946897487
controlled_untied_v1,0.1,1190.4761904761904,total,25000,25000,local_only-minus-tis,400,0.00035519664572977353,5.038668967429916e-05,0.00025643873396814716,0.0004539545574913999
controlled_untied_v1,0.1,1190.4761904761904,total,25000,25000,oracle_tail-minus-tis,400,-7.894123785464646e-05,1.4712683174788788e-05,-0.00010777809687723248,-5.010437883206044e-05
controlled_untied_v1,0.1,1190.4761904761904,total,25000,25000,reachability_only-minus-tis,400,-3.794840866436814e-05,2.2832030316219086e-05,-8.269918808415756e-05,6.802370755421264e-06
controlled_untied_v1,0.1,1190.4761904761904,total,25000,25000,uniform-minus-tis,400,0.00013830037196796904,3.317278595381952e-05,7.328171149848279e-05,0.0002033190324374553
controlled_untied_v1,0.1,2380.9523809523807,total,50000,50000,local_only-minus-tis,400,0.00016345779158978855,2.3737395819324267e-05,0.00011693249578391299,0.00020998308739566412
controlled_untied_v1,0.1,2380.9523809523807,total,50000,50000,oracle_tail-minus-tis,400,-3.0998979359631224e-05,5.994970399709348e-06,-4.274912134306155e-05,-1.92488373762009e-05
controlled_untied_v1,0.1,2380.9523809523807,total,50000,50000,reachability_only-minus-tis,400,-2.0146906926915262e-06,8.933754317708394e-06,-1.952484915539998e-05,1.5495467770016928e-05
controlled_untied_v1,0.1,2380.9523809523807,total,50000,50000,uniform-minus-tis,400,8.456176541875024e-05,1.6090999251248325e-05,5.3023406886303523e-05,0.00011610012395119695
controlled_untied_v1,0.1,4761.9047619047615,total,100000,100000,local_only-minus-tis,400,0.0001277239899661569,1.3511021809333761e-05,0.00010124238721986273,0.00015420559271245106
