environment,alpha,budget_per_group,budget_unit,budget_value,total_budget,method,replications,truth,mse,mse_se,bias,estimate_sd,mean_design_constant,pilot_fraction
controlled_untied_v1,0.1,595.2380952380952,total,12500,12500,local_only,400,0.9086716125743334,0.0015790156279577334,9.521880831679636e-05,0.000849233417193892,0.03977750690654336,18.439046755978143,0.0
controlled_untied_v1,0.1,595.2380952380952,total,12500,12500,oracle_tail,400,0.9086716125743334,0.0006372842220253239,4.40214194762153e-05,-8.293365148371729e-05,0.02527596744658208,7.573380705644565,0.0
controlled_untied_v1,0.1,595.2380952380952,total,12500,12500,reachability_only,400,0.9086716125743334,0.0007228557068473387,4.5637571044781364e-05,-0.0006481376511602563,0.02691182342452047,8.677117793445188,0.0
controlled_untied_v1,0.1,595.2380952380952,total,12500,12500,tis,400,0.9086716125743334,0.0008062134663893941,5.519860616647398e-05,0.0005897922548838408,0.028423323605754953,9.43571417109403,0.17304
controlled_untied_v1,0.1,595.2380952380952,total,12500,12500,uniform,400,0.9086716125743334,0.0011042247776144774,7.478683390527713e-05,-0.00021457396875515234,0.03327079952268365,12.977171490179044,0.0
controlled_untied_v1,0.1,1190.4761904761904,total,25000,25000,local_only,400,0.9086716125743334,0.0007763503929923332,5.3610507920769026e-05,0.000635587375364809,0.0278907000549376,18.61844511606504,0.0
controlled_untied_v1,0.1,1190.4761904761904,total,25000,25000,oracle_tail,400,0.9086716125743334,0.0003422125094079132,2.1771248878373228e-05,0.0007600211305088833,0.018506515205508643,7.562033479266119,0.0
controlled_untied_v1,0.1,1190.4761904761904,total,25000,25000,reachability_only,400,0.9086716125743334,0.00038320533859819155,2.4211530650253755e-05,0.0004788817177396357,0.019594281066804123,8.735663786005928,0.0
controlled_untied_v1,0.1,1190.4761904761904,total,25000,25000,tis,400,0.9086716125743334,0.0004211537472625597,2.6885413481879128e-05,0.0003290863900964527,0.020545089465936167,8.918838166780818,0.13692
controlled_untied_v1,0.1,1190.4761904761904,total,25000,25000,uniform,400,0.9086716125743334,0.0005594541192305287,3.905359394864028e-05,0.00023344305302827384,0.023681250550606974,12.981944642977815,0.0
controlled_untied_v1,0.1,2380.9523809523807,total,50000,50000,local_only,400,0.9086716125743334,0.00033571156854282565,2.5055065881859565e-05,0.0013560392842032623,0.018295067634526607,18.769365157842714,0.0
controlled_untied_v1,0.1,2380.9523809523807,total,50000,50000,oracle_tail,400,0.9086716125743334,0.0001412547975934059,9.680312068607555e-06,0.001173146744442459,0.011841836726287018,7.553951909263319,0.0
controlled_untied_v1,0.1,2380.9523809523807,total,50000,50000,reachability_only,400,0.9086716125743334,0.00017023908626034558,1.0695716222851679e-05,0.0019291608454036658,0.01292032358715908,8.789260951697006,0.0
controlled_untied_v1,0.1,2380.9523809523807,total,50000,50000,tis,400,0.9086716125743334,0.0001722537769530371,1.1945527058928988e-05,0.0014648089138005068,0.013058883869568827,8.576967762318205,0.10878
controlled_untied_v1,0.1,2380.9523809523807,total,50000,50000,uniform,400,0.9086716125743334,0.0002568155423717873,1.6715255077033458e-05,0.0018201712868138467,0.015941702026986918,12.984703830656313,0.0
controlled_untied_v1,0.1,4761.9047619047615,total,100000,100000,local_only,400,0.9086716125743334,0.00021983852081700975,1.4526817605415093e-05,-0.0002759975167471246,0.014842948797671065,18.902784556217657,0.0
controlled_untied_v1,0.1,4761.9047619047615,total,100000,100000,oracle_tail,400,0.9086716125743334,8.302211176786878e-05,5.7814123269199145e-06,-6.527482934919338e-05,0.009122823891422379,7.548384826813431,0.0
controlled_untied_v1,0.1,4761.9047619047615,total,100000,100000,reachability_only,400,0.9086716125743334,9.35836856717245e-05,6.1538936665248675e-06,0.00010418572082853433,0.009685419422035983,8.83554960216733,0.0
controlled_untied_v1,0.1,4761.9047619047615,total,100000,100000,tis,400,0.9086716125743334,9.211453085085284e-05,6.586919494041579e-06,-0.00017330359266716944,0.009608084352665799,8.32571511087167,0.08631
controlled_untied_v1,0.1,4761.9047619047615,total,100000,100000,uniform,400,0.9086716125743334,0.00014985978913273002,1.101224773857409e-05,-0.0008012314232810854,0.012230772536154651,12.984342196050138,0.0
inventory_untied_v1,0.1,150.0,per_group,150,6150,local_only,300,1.1512371171695404,0.001908101118460469,0.00015598841340712288,0.004461976423416566,0.04352593373936535,12.468646960929961,0.0
inventory_untied_v1,0.1,150.0,per_group,150,6150,oracle_tail,300,1.1512371171695404,0.0007306440556606984,5.794426889498298e-05,-2.0565486378639383e-06,0.027075591905282092,4.240253437087007,0.0
inventory_untied_v1,0.1,150.0,per_group,150,6150,reachability_only,300,1.1512371171695404,0.00109117011765652,9.69630173116132e-05,0.0009630751953105173,0.03307399129464963,7.343241236437437,0.0
inventory_untied_v1,0.1,150.0,per_group,150,6150,tis,300,1.1512371171695404,0.0010069269879380701,8.621077040459135e-05,0.00047333723586374444,0.031781595920649205,5.746072316151831,0.22
inventory_untied_v1,0.1,150.0,per_group,150,6150,uniform,300,1.1512371171695404,0.0012323211211328854,9.959634522903614e-05,0.0008861090551989484,0.0351518816160055,7.541326392605823,0.0
