environment,alpha,budget_per_group,budget_unit,budget_value,total_budget,replication,method,truth,estimate,error,squared_error,pilot_per_group,pilot_total,main_total,exploration,design_constant,mc_ucb_score_range,mc_ucb_beta
controlled_untied_v1,0.1,595.2380952380952,total,12500,12500,0,uniform,0.9086716125743334,0.9520190348620305,0.04334742228769717,0.0018789990189879452,0,0,12500,0.09457416090031757,12.977171490179042,,
controlled_untied_v1,0.1,595.2380952380952,total,12500,12500,0,reachability_only,0.9086716125743334,0.9288612506320364,0.02018963805770302,0.00040762148490105013,0,0,12500,0.09457416090031757,8.677117793445186,,
controlled_untied_v1,0.1,595.2380952380952,total,12500,12500,0,local_only,0.9086716125743334,0.9997785102050788,0.09110689763074542,0.008300466795899126,0,0,12500,0.09457416090031757,18.43904675597814,,
controlled_untied_v1,0.1,595.2380952380952,total,12500,12500,0,oracle_tail,0.9086716125743334,0.9369994304800432,0.028327817905709818,0.0008024652672990538,0,0,12500,0.09457416090031757,7.573380705644565,,
controlled_untied_v1,0.1,595.2380952380952,total,12500,12500,0,tis,0.9086716125743334,0.9536221726331974,0.044950560058864,0.0020205528496055392,103,2163,10337,0.09457416090031757,9.537467355351467,,
controlled_untied_v1,0.1,595.2380952380952,total,12500,12500,1,uniform,0.9086716125743334,0.9067271472780556,-0.0019444652962777864,3.7809452884286597e-06,0,0,12500,0.09457416090031757,12.977171490179042,,
controlled_untied_v1,0.1,595.2380952380952,total,12500,12500,1,reachability_only,0.9086716125743334,0.9181935414200646,0.00952192884573122,9.066712894316828e-05,0,0,12500,0.09457416090031757,8.677117793445186,,
controlled_untied_v1,0.1,595.2380952380952,total,12500,12500,1,local_only,0.9086716125743334,0.9523742145034053,0.04370260192907194,0.0019099174153709222,0,0,12500,0.09457416090031757,18.43904675597814,,
controlled_untied_v1,0.1,595.2380952380952,total,12500,12500,1,oracle_tail,0.9086716125743334,0.9211420450537781,0.012470432479444682,0.00015551168622438883,0,0,12500,0.09457416090031757,7.573380705644565,,
controlled_untied_v1,0.1,595.2380952380952,total,12500,12500,1,tis,0.9086716125743334,0.9087652293200379,9.361674570451672e-05,8.764095076304151e-09,103,2163,10337,0.09457416090031757,9.598531953496053,,
controlled_untied_v1,0.1,595.2380952380952,total,12500,12500,2,uniform,0.9086716125743334,0.8817300024812504,-0.026941610093082935,0.0007258503544077083,0,0,12500,0.09457416090031757,12.977171490179042,,
controlled_untied_v1,0.1,595.2380952380952,total,12500,12500,2,reachability_only,0.9086716125743334,0.9089518152361967,0.0002802026618633491,7.851353171530634e-08,0,0,12500,0.09457416090031757,8.677117793445186,,
controlled_untied_v1,0.1,595.2380952380952,total,12500,12500,2,local_only,0.9086716125743334,0.905268888011018,-0.0034027245633153624,1.1578534453789723e-05,0,0,12500,0.09457416090031757,18.43904675597814,,
controlled_untied_v1,0.1,595.2380952380952,total,12500,12500,2,oracle_tail,0.9086716125743334,0.9093608540170329,0.0006892414426995508,4.7505376633455817e-07,0,0,12500,0.09457416090031757,7.573380705644565,,
