index,p_base,loss,policy,budget_per_block,method,replications,truth,mse,mse_se,bias
14,0.04,3,plus_one,150,uniform,300,0.8337243950469523,0.0005740697929746712,8.726099750112712e-05,0.0034872411911713226
14,0.04,3,plus_one,150,learned_occupancy,300,0.8337243950469523,0.0005247196788006829,8.834809881657533e-05,0.0035292127254314284
14,0.04,3,plus_one,150,learned_mean,300,0.8337243950469523,0.0004936091698624037,7.302054773990405e-05,0.0031455016184210546
14,0.04,3,plus_one,150,tis,300,0.8337243950469523,0.00033939343525324795,6.064722775327261e-05,0.002644494290006093
14,0.04,3,plus_one,150,tis_anchored,300,0.8337243950469523,0.0003910256707045796,7.636713981401952e-05,0.0027380162289261305
14,0.04,3,plus_one,150,occ_plus_uniform,300,0.8337243950469523,0.0006029692601037315,7.916747734280872e-05,0.0038321831088691184
14,0.04,3,plus_one,150,occ_plus_mean,300,0.8337243950469523,0.0004916278036992246,8.374706368618921e-05,0.0030983976534888313
14,0.04,3,plus_one,150,oracle_tail,300,0.8337243950469523,0.00021704274213454314,3.4983910249582754e-05,0.001241970603934248
14,0.04,3,plus_one,150,complete_rollout,300,0.8337243950469523,0.0019444098860229204,0.00023384550700453812,0.006294123471566234
14,0.04,3,plus_one,600,uniform,300,0.8337243950469523,9.455977213474796e-05,1.122525613244854e-05,-0.0009228992861633493
14,0.04,3,plus_one,600,learned_occupancy,300,0.8337243950469523,8.495806296432429e-05,1.1292599482083601e-05,-0.0010533717674276173
14,0.04,3,plus_one,600,learned_mean,300,0.8337243950469523,7.27704774664393e-05,6.940958494968581e-06,-0.0008822332658309207
14,0.04,3,plus_one,600,tis,300,0.8337243950469523,4.8955088660555034e-05,4.350002686512064e-06,-0.0004215806574833721
14,0.04,3,plus_one,600,tis_anchored,300,0.8337243950469523,5.8099356751225526e-05,5.3108176708824855e-06,-0.0007684502413516133
14,0.04,3,plus_one,600,occ_plus_uniform,300,0.8337243950469523,8.953797810144957e-05,1.1017535238567314e-05,-0.0010957501864347174
14,0.04,3,plus_one,600,occ_plus_mean,300,0.8337243950469523,7.593916882893638e-05,8.332062814579951e-06,-0.0009070239878989447
14,0.04,3,plus_one,600,oracle_tail,300,0.8337243950469523,4.1110804698382335e-05,3.3592502410182273e-06,-0.00033286605946707587
14,0.04,3,plus_one,600,complete_rollout,300,0.8337243950469523,0.000317461844510827,2.751348858389732e-05,0.0018543086567514206
14,0.04,3,plus_one,1200,uniform,300,0.8337243950469523,4.056312615085327e-05,3.186135168500153e-06,-5.8066905552261645e-05
14,0.04,3,plus_one,1200,learned_occupancy,300,0.8337243950469523,3.766323019561085e-05,3.334088741641136e-06,-0.00011113816370900882
14,0.04,3,plus_one,1200,learned_mean,300,0.8337243950469523,3.216607359539636e-05,2.7278636986959964e-06,-6.368516911085161e-05
14,0.04,3,plus_one,1200,tis,300,0.8337243950469523,2.3643608935311385e-05,1.8451377748219582e-06,-0.0001130643732308767
14,0.04,3,plus_one,1200,tis_anchored,300,0.8337243950469523,2.7893595220746154e-05,2.3843089962882633e-06,-0.00012698482654896408
14,0.04,3,plus_one,1200,occ_plus_uniform,300,0.8337243950469523,3.6935632049891725e-05,2.9290903933238713e-06,-0.00022160694937897073
14,0.04,3,plus_one,1200,occ_plus_mean,300,0.8337243950469523,3.4693708151112716e-05,2.9440210831677367e-06,-8.813115862276214e-05
14,0.04,3,plus_one,1200,oracle_tail,300,0.8337243950469523,2.015760728550622e-05,1.5414620514624947e-06,-6.114454297719026e-05
14,0.04,3,plus_one,1200,complete_rollout,300,0.8337243950469523,0.00014818945482958902,1.125448035520784e-05,0.00018532717526994333
