index,p_base,loss,policy,budget_per_block,method,replications,truth,mse,mse_se,bias
15,0.12,1,plus_one,150,uniform,300,0.7690565002746165,0.000519571580415954,4.427661812234395e-05,-0.000453689388256238
15,0.12,1,plus_one,150,learned_occupancy,300,0.7690565002746165,0.000557129299200865,4.7949914376200425e-05,0.0005666904624921609
15,0.12,1,plus_one,150,learned_mean,300,0.7690565002746165,0.00046248593166915106,4.182204851609273e-05,0.0010286200896749804
15,0.12,1,plus_one,150,tis,300,0.7690565002746165,0.00032473635375165254,2.8213382750696818e-05,0.0011581163501858426
15,0.12,1,plus_one,150,tis_anchored,300,0.7690565002746165,0.0003520667282771898,2.972072797916454e-05,0.0013646233714065216
15,0.12,1,plus_one,150,occ_plus_uniform,300,0.7690565002746165,0.0005625915665438247,5.058845880542118e-05,0.0005883253539799815
15,0.12,1,plus_one,150,occ_plus_mean,300,0.7690565002746165,0.0004963458900575716,4.438980660516605e-05,0.00024382896960728077
15,0.12,1,plus_one,150,oracle_tail,300,0.7690565002746165,0.0002878100789960114,2.343495784138838e-05,0.000435138407220053
15,0.12,1,plus_one,150,complete_rollout,300,0.7690565002746165,0.0017150785124346653,0.0001625877304195424,0.0014620182439020468
15,0.12,1,plus_one,600,uniform,300,0.7690565002746165,0.0001492794806034053,1.2558380912994566e-05,-0.0005234832820251411
15,0.12,1,plus_one,600,learned_occupancy,300,0.7690565002746165,0.00012782616719968435,1.1052803802619166e-05,-0.000734660507275217
15,0.12,1,plus_one,600,learned_mean,300,0.7690565002746165,0.0001107631054410672,8.99306058134623e-06,-0.0006678065506260611
15,0.12,1,plus_one,600,tis,300,0.7690565002746165,7.277526564010398e-05,5.728140947757263e-06,-0.000888535370382821
15,0.12,1,plus_one,600,tis_anchored,300,0.7690565002746165,9.276367913227259e-05,7.0614115063132276e-06,-0.0009925792701418064
15,0.12,1,plus_one,600,occ_plus_uniform,300,0.7690565002746165,0.00014260419901996168,1.1078985035077075e-05,-0.0004991337498374985
15,0.12,1,plus_one,600,occ_plus_mean,300,0.7690565002746165,0.00011721801621937799,9.842780819258627e-06,-0.0008624235579376324
15,0.12,1,plus_one,600,oracle_tail,300,0.7690565002746165,6.337666427097504e-05,5.1536232763038276e-06,-0.0004903274814615666
15,0.12,1,plus_one,600,complete_rollout,300,0.7690565002746165,0.00042786587848639017,3.268494873564732e-05,0.0018323886142724156
15,0.12,1,plus_one,1200,uniform,300,0.7690565002746165,7.129546122703783e-05,5.702898710526621e-06,-0.0008767311630810137
15,0.12,1,plus_one,1200,learned_occupancy,300,0.7690565002746165,5.508203011341755e-05,4.365509969656285e-06,-0.0005501468080363107
15,0.12,1,plus_one,1200,learned_mean,300,0.7690565002746165,4.5593845972729635e-05,3.459128775231197e-06,-0.00029026598850430277
15,0.12,1,plus_one,1200,tis,300,0.7690565002746165,3.568808216901159e-05,2.5520723756644727e-06,-0.0004014193241184268
15,0.12,1,plus_one,1200,tis_anchored,300,0.7690565002746165,4.010930512521271e-05,2.845245184119901e-06,-0.0005194542216340559
15,0.12,1,plus_one,1200,occ_plus_uniform,300,0.7690565002746165,6.17965569057639e-05,4.995302072266415e-06,-0.000675503981903719
15,0.12,1,plus_one,1200,occ_plus_mean,300,0.7690565002746165,5.060170665765025e-05,4.029305374279266e-06,-0.0004384414682626751
15,0.12,1,plus_one,1200,oracle_tail,300,0.7690565002746165,3.123676316282434e-05,2.3673131178666378e-06,-0.0003219748839755317
15,0.12,1,plus_one,1200,complete_rollout,300,0.7690565002746165,0.000203513417314939,1.7133332034290267e-05,0.0018485923179761188
