index,p_base,loss,policy,budget_per_block,method,replications,truth,mse,mse_se,bias
4,0.04,2,seasonal,150,uniform,300,1.1762926826312994,0.0010322582582731087,8.424746802986405e-05,-2.5700109737539407e-05
4,0.04,2,seasonal,150,learned_occupancy,300,1.1762926826312994,0.0010637281758009867,7.899764426641453e-05,0.0010022780174128122
4,0.04,2,seasonal,150,learned_mean,300,1.1762926826312994,0.0010606778073882677,7.930494219383888e-05,-0.0002386810729983598
4,0.04,2,seasonal,150,tis,300,1.1762926826312994,0.0007530792857558414,5.963178313143448e-05,-0.0001768855171695664
4,0.04,2,seasonal,150,tis_anchored,300,1.1762926826312994,0.000864747552713541,6.650895801883436e-05,-0.000703130203254186
4,0.04,2,seasonal,150,occ_plus_uniform,300,1.1762926826312994,0.0010999479638713243,8.572611252896921e-05,0.0005321721615842908
4,0.04,2,seasonal,150,occ_plus_mean,300,1.1762926826312994,0.0010712169206245185,7.937798849193653e-05,0.0006707050732878776
4,0.04,2,seasonal,150,oracle_tail,300,1.1762926826312994,0.0005568928321309707,4.497844454181974e-05,0.0005776932005994798
4,0.04,2,seasonal,150,complete_rollout,300,1.1762926826312994,0.0030776140519637152,0.00024287865691679502,-0.0011407729090770903
4,0.04,2,seasonal,600,uniform,300,1.1762926826312994,0.00028168294429841865,2.223939602804904e-05,-0.00016731750971343828
4,0.04,2,seasonal,600,learned_occupancy,300,1.1762926826312994,0.00026935059034469236,2.3205809367662815e-05,-4.496896318136508e-06
4,0.04,2,seasonal,600,learned_mean,300,1.1762926826312994,0.0002532898319842452,2.346721876489787e-05,3.257312009133188e-05
4,0.04,2,seasonal,600,tis,300,1.1762926826312994,0.00019562095082506647,1.7495357181811334e-05,-0.00015661962126953588
4,0.04,2,seasonal,600,tis_anchored,300,1.1762926826312994,0.00021790427908736188,2.0637589902187935e-05,-0.0003120820423657422
4,0.04,2,seasonal,600,occ_plus_uniform,300,1.1762926826312994,0.0002832811316882968,2.3818937469053803e-05,-0.00018106360439387774
4,0.04,2,seasonal,600,occ_plus_mean,300,1.1762926826312994,0.00026410982885924963,2.4267907052096813e-05,-7.09282933024095e-05
4,0.04,2,seasonal,600,oracle_tail,300,1.1762926826312994,0.0001616480910197945,1.3519397199153284e-05,-0.00031254117097765895
4,0.04,2,seasonal,600,complete_rollout,300,1.1762926826312994,0.0005978395556860509,5.1387246693374605e-05,-0.0032086717911909706
4,0.04,2,seasonal,1200,uniform,300,1.1762926826312994,0.00014985279787249107,1.1922930780016754e-05,-0.00023337956518371488
4,0.04,2,seasonal,1200,learned_occupancy,300,1.1762926826312994,0.00015246553912067723,1.1899677587013668e-05,-0.0003880918703174315
4,0.04,2,seasonal,1200,learned_mean,300,1.1762926826312994,0.00012551875621157903,1.0238117001513132e-05,-0.0002260740162683339
4,0.04,2,seasonal,1200,tis,300,1.1762926826312994,9.141704704969442e-05,8.26513574234531e-06,-0.00040883576144575164
4,0.04,2,seasonal,1200,tis_anchored,300,1.1762926826312994,0.00010847757225788826,8.780126479409598e-06,-0.0004950542929821052
4,0.04,2,seasonal,1200,occ_plus_uniform,300,1.1762926826312994,0.0001537907606186276,1.1804791522050842e-05,-0.0006477317867129077
4,0.04,2,seasonal,1200,occ_plus_mean,300,1.1762926826312994,0.00014316738515067414,1.1411348795408485e-05,-0.00019386455520225814
4,0.04,2,seasonal,1200,oracle_tail,300,1.1762926826312994,7.827611221230147e-05,6.756721494841656e-06,-0.00034535421937032407
4,0.04,2,seasonal,1200,complete_rollout,300,1.1762926826312994,0.00039121298984074897,3.1970367546519974e-05,-0.0011219509239823037
