environment,alpha,budget_per_group,budget_unit,budget_value,total_budget,replication,method,truth,estimate,error,squared_error,pilot_per_group,pilot_total,main_total,exploration,design_constant,mc_ucb_score_range,mc_ucb_beta
cliffwalking_primary,0.1,50.0,per_group,50,7450,3,uniform,11.870935383221072,10.545650066525003,-1.3252853166960694,1.756381170650201,0,0,7450,0.10763683815158194,8104.236782959191,,
cliffwalking_primary,0.1,50.0,per_group,50,7450,3,occupancy,11.870935383221072,12.246834447089908,0.375899063868836,0.14130010621746722,0,0,7450,0.10763683815158194,173.6008736373826,,
cliffwalking_primary,0.1,50.0,per_group,50,7450,3,mean_influence,11.870935383221072,12.118775440218808,0.24784005699773637,0.06142469385264121,0,0,7450,0.10763683815158194,134.13759812034056,,
cliffwalking_primary,0.1,50.0,per_group,50,7450,3,mc_ucb_frozen,11.870935383221072,9.650311251109331,-2.220624132111741,4.931171536117023,11,1639,5811,0.10763683815158194,9240.425890610746,19.462745995239462,122.62600839245283
cliffwalking_primary,0.1,50.0,per_group,50,7450,3,tis,11.870935383221072,12.151757072515874,0.2808216892948021,0.07886082117838637,11,1639,5811,0.10763683815158194,151.4917064919069,,
cliffwalking_primary,0.1,50.0,per_group,50,7450,3,oracle_tail,11.870935383221072,11.962192052210401,0.09125666898932927,0.00832777963502801,0,0,7450,0.10763683815158194,109.61389189573917,,
cliffwalking_primary,0.1,50.0,per_group,50,7450,3,tail_no_cov,11.870935383221072,12.108828899662216,0.23789351644114376,0.056593325164732734,11,1639,5811,0.10763683815158194,153.43530662319495,,
cliffwalking_primary,0.1,50.0,per_group,50,7450,3,learned_mean,11.870935383221072,12.163422268635749,0.29248688541467693,0.08554857813957835,11,1639,5811,0.10763683815158194,199.20566757650084,,
cliffwalking_primary,0.1,50.0,per_group,50,7450,3,oracle_no_cov,11.870935383221072,11.971048361231407,0.10011297801033514,0.010022608366097847,0,0,7450,0.10763683815158194,109.91956953494487,,
cliffwalking_primary,0.1,50.0,per_group,50,7450,4,uniform,11.870935383221072,11.281569473361568,-0.5893659098595041,0.3473521757045211,0,0,7450,0.10763683815158194,8104.236782959191,,
cliffwalking_primary,0.1,50.0,per_group,50,7450,4,occupancy,11.870935383221072,11.753707100081476,-0.1172282831395961,0.013742470367857312,0,0,7450,0.10763683815158194,173.6008736373826,,
cliffwalking_primary,0.1,50.0,per_group,50,7450,4,mean_influence,11.870935383221072,11.846012168694802,-0.024923214526269888,0.0006211666223224704,0,0,7450,0.10763683815158194,134.13759812034056,,
cliffwalking_primary,0.1,50.0,per_group,50,7450,4,mc_ucb_frozen,11.870935383221072,10.925088604584369,-0.9458467786367031,0.8946261286574284,11,1639,5811,0.10763683815158194,9234.072907343538,14.22838484973687,89.64665317122508
cliffwalking_primary,0.1,50.0,per_group,50,7450,4,tis,11.870935383221072,11.808972062072531,-0.061963321148541084,0.0038394531677572387,11,1639,5811,0.10763683815158194,157.0814876752501,,
cliffwalking_primary,0.1,50.0,per_group,50,7450,4,oracle_tail,11.870935383221072,11.903364640013246,0.03242925679217379,0.0010516566960927498,0,0,7450,0.10763683815158194,109.61389189573917,,
cliffwalking_primary,0.1,50.0,per_group,50,7450,4,tail_no_cov,11.870935383221072,11.781530806513212,-0.08940457670786017,0.007993178336311654,11,1639,5811,0.10763683815158194,159.1652459172952,,
cliffwalking_primary,0.1,50.0,per_group,50,7450,4,learned_mean,11.870935383221072,11.759595189703312,-0.11134019351776026,0.012396638692572303,11,1639,5811,0.10763683815158194,206.28222405404503,,
cliffwalking_primary,0.1,50.0,per_group,50,7450,4,oracle_no_cov,11.870935383221072,11.89021327768484,0.01927789446376771,0.0003716372149561657,0,0,7450,0.10763683815158194,109.91956953494487,,
cliffwalking_primary,0.1,50.0,per_group,50,7450,5,uniform,11.870935383221072,13.528705724201641,1.6577703409805693,2.748202503434833,0,0,7450,0.10763683815158194,8104.236782959191,,
cliffwalking_primary,0.1,50.0,per_group,50,7450,5,occupancy,11.870935383221072,12.200248583376894,0.32931320015582166,0.10844718379686825,0,0,7450,0.10763683815158194,173.6008736373826,,
cliffwalking_primary,0.1,50.0,per_group,50,7450,5,mean_influence,11.870935383221072,12.012721248337664,0.1417858651165922,0.020103231546860473,0,0,7450,0.10763683815158194,134.13759812034056,,
cliffwalking_primary,0.1,50.0,per_group,50,7450,5,mc_ucb_frozen,11.870935383221072,11.98981729172153,0.11888190850045888,0.014132908168711477,11,1639,5811,0.10763683815158194,9236.584083638385,22.158826375552074,139.61279820226733
cliffwalking_primary,0.1,50.0,per_group,50,7450,5,tis,11.870935383221072,12.134855870299937,0.26392048707886495,0.06965402349994532,11,1639,5811,0.10763683815158194,154.02783294261616,,
cliffwalking_primary,0.1,50.0,per_group,50,7450,5,oracle_tail,11.870935383221072,11.99496535535361,0.12402997213253819,0.0153834339871982,0,0,7450,0.10763683815158194,109.61389189573917,,
cliffwalking_primary,0.1,50.0,per_group,50,7450,5,tail_no_cov,11.870935383221072,12.138358433647644,0.2674230504265722,0.07151508789945299,11,1639,5811,0.10763683815158194,155.83399506595188,,
cliffwalking_primary,0.1,50.0,per_group,50,7450,5,learned_mean,11.870935383221072,12.137144797994308,0.2662094147732361,0.07086745251390887,11,1639,5811,0.10763683815158194,195.50926002612348,,
cliffwalking_primary,0.1,50.0,per_group,50,7450,5,oracle_no_cov,11.870935383221072,12.002350737708836,0.1314153544877641,0.017269995395144698,0,0,7450,0.10763683815158194,109.91956953494487,,
cliffwalking_primary,0.1,50.0,per_group,50,7450,6,uniform,11.870935383221072,11.384091805700919,-0.48684357752015295,0.23701666897262116,0,0,7450,0.10763683815158194,8104.236782959191,,
cliffwalking_primary,0.1,50.0,per_group,50,7450,6,occupancy,11.870935383221072,11.958410687110849,0.08747530388977687,0.007651928790608812,0,0,7450,0.10763683815158194,173.6008736373826,,
cliffwalking_primary,0.1,50.0,per_group,50,7450,6,mean_influence,11.870935383221072,11.98962669278949,0.11869130956841722,0.01408762696706585,0,0,7450,0.10763683815158194,134.13759812034056,,
cliffwalking_primary,0.1,50.0,per_group,50,7450,6,mc_ucb_frozen,11.870935383221072,10.460342087122338,-1.4105932960987335,1.9897734469986892,11,1639,5811,0.10763683815158194,9240.425890610746,18.57759956829904,117.04909888517697
cliffwalking_primary,0.1,50.0,per_group,50,7450,6,tis,11.870935383221072,12.049085685371146,0.17815030215007432,0.03173753015616278,11,1639,5811,0.10763683815158194,144.8573036319296,,
cliffwalking_primary,0.1,50.0,per_group,50,7450,6,oracle_tail,11.870935383221072,11.951034374568868,0.0800989913477963,0.0064158484149343465,0,0,7450,0.10763683815158194,109.61389189573917,,
cliffwalking_primary,0.1,50.0,per_group,50,7450,6,tail_no_cov,11.870935383221072,12.110100073562036,0.23916469034096366,0.057199749105889035,11,1639,5811,0.10763683815158194,146.00588442720453,,
cliffwalking_primary,0.1,50.0,per_group,50,7450,6,learned_mean,11.870935383221072,11.944826485317758,0.07389110209668637,0.005459894969062929,11,1639,5811,0.10763683815158194,190.44401769501792,,
cliffwalking_primary,0.1,50.0,per_group,50,7450,6,oracle_no_cov,11.870935383221072,11.971166395893414,0.10023101267234225,0.010046255901323232,0,0,7450,0.10763683815158194,109.91956953494487,,
cliffwalking_primary,0.1,50.0,per_group,50,7450,7,uniform,11.870935383221072,12.074917974535106,0.20398259131403407,0.04160889755918824,0,0,7450,0.10763683815158194,8104.236782959191,,
cliffwalking_primary,0.1,50.0,per_group,50,7450,7,occupancy,11.870935383221072,11.925206378618087,0.0542709953970153,0.0029453409413828556,0,0,7450,0.10763683815158194,173.6008736373826,,
cliffwalking_primary,0.1,50.0,per_group,50,7450,7,mean_influence,11.870935383221072,12.015716285832484,0.1447809026114122,0.02096150976097522,0,0,7450,0.10763683815158194,134.13759812034056,,
cliffwalking_primary,0.1,50.0,per_group,50,7450,7,mc_ucb_frozen,11.870935383221072,11.059428907762761,-0.8115064754583106,0.6585427597107696,11,1639,5811,0.10763683815158194,9240.425890610746,19.155180958094505,120.68817943268591
cliffwalking_primary,0.1,50.0,per_group,50,7450,7,tis,11.870935383221072,12.003760002108052,0.13282461888698016,0.017642379382471526,11,1639,5811,0.10763683815158194,143.19908568129787,,
cliffwalking_primary,0.1,50.0,per_group,50,7450,7,oracle_tail,11.870935383221072,12.033369714597502,0.1624343313764296,0.02638491200970774,0,0,7450,0.10763683815158194,109.61389189573917,,
cliffwalking_primary,0.1,50.0,per_group,50,7450,7,tail_no_cov,11.870935383221072,11.998113695318212,0.12717831209713992,0.016174323067877527,11,1639,5811,0.10763683815158194,143.78848906258006,,
cliffwalking_primary,0.1,50.0,per_group,50,7450,7,learned_mean,11.870935383221072,11.995531036248668,0.12459565302759579,0.015524076753373039,11,1639,5811,0.10763683815158194,190.10350208673555,,
cliffwalking_primary,0.1,50.0,per_group,50,7450,7,oracle_no_cov,11.870935383221072,12.034514469117873,0.16357908589680115,0.026758117342833048,0,0,7450,0.10763683815158194,109.91956953494487,,
cliffwalking_primary,0.1,50.0,per_group,50,7450,8,uniform,11.870935383221072,10.704481326195701,-1.166454057025371,1.3606150671509474,0,0,7450,0.10763683815158194,8104.236782959191,,
cliffwalking_primary,0.1,50.0,per_group,50,7450,8,occupancy,11.870935383221072,11.766010479335188,-0.10492490388588394,0.011009235455461982,0,0,7450,0.10763683815158194,173.6008736373826,,
cliffwalking_primary,0.1,50.0,per_group,50,7450,8,mean_influence,11.870935383221072,11.79118788469222,-0.07974749852885132,0.006359663521609144,0,0,7450,0.10763683815158194,134.13759812034056,,
cliffwalking_primary,0.1,50.0,per_group,50,7450,8,mc_ucb_frozen,11.870935383221072,12.58987659630059,0.7189412130795176,0.5168764678642483,11,1639,5811,0.10763683815158194,9234.072907343538,13.659842025262869,86.06452055836199
cliffwalking_primary,0.1,50.0,per_group,50,7450,8,tis,11.870935383221072,11.68685734014785,-0.18407804307322273,0.03388472594166724,11,1639,5811,0.10763683815158194,188.05266633003032,,
cliffwalking_primary,0.1,50.0,per_group,50,7450,8,oracle_tail,11.870935383221072,11.853156067481093,-0.01777931573997904,0.00031610406818186645,0,0,7450,0.10763683815158194,109.61389189573917,,
cliffwalking_primary,0.1,50.0,per_group,50,7450,8,tail_no_cov,11.870935383221072,11.676866548960696,-0.19406883426037602,0.0376627124311813,11,1639,5811,0.10763683815158194,188.37510405219354,,
cliffwalking_primary,0.1,50.0,per_group,50,7450,8,learned_mean,11.870935383221072,11.698673472039676,-0.1722619111813959,0.029674166043867127,11,1639,5811,0.10763683815158194,263.0511701679956,,
cliffwalking_primary,0.1,50.0,per_group,50,7450,8,oracle_no_cov,11.870935383221072,11.834389549162257,-0.036545834058815174,0.001335597987054455,0,0,7450,0.10763683815158194,109.91956953494487,,
cliffwalking_primary,0.1,50.0,per_group,50,7450,9,uniform,11.870935383221072,12.841478296028777,0.970542912807705,0.9419535456012644,0,0,7450,0.10763683815158194,8104.236782959191,,
