environment,alpha,budget_per_group,budget_unit,budget_value,total_budget,method,replications,truth,mse,mse_se,bias,estimate_sd,mean_design_constant,pilot_fraction
cliffwalking_primary,0.1,50.0,per_group,50,7450,learned_mean,500,11.870935383221072,0.02741285983170184,0.001910255206119975,0.005721982858277165,0.16563510715217972,185.51013631303232,0.22
cliffwalking_primary,0.1,50.0,per_group,50,7450,mc_ucb_frozen,500,11.870935383221072,1.8634263592686076,0.13268414590041205,-0.062216317959946706,1.3650208984313843,9251.695751669147,0.22
cliffwalking_primary,0.1,50.0,per_group,50,7450,mean_influence,500,11.870935383221072,0.019182310634174436,0.0012738030197367684,0.0030026116816102297,0.13860634326773072,134.1375981203405,0.0
cliffwalking_primary,0.1,50.0,per_group,50,7450,occupancy,500,11.870935383221072,0.026269224881405564,0.001729742114072707,0.0029210211713717165,0.16221380691862214,173.60087363738256,0.0
cliffwalking_primary,0.1,50.0,per_group,50,7450,oracle_no_cov,500,11.870935383221072,0.01620255413888947,0.0011217816423512246,0.004155848230695607,0.12734880643875562,109.9195695349449,0.0
cliffwalking_primary,0.1,50.0,per_group,50,7450,oracle_tail,500,11.870935383221072,0.01628830023232455,0.0011219743112646891,0.002750740795653044,0.12772376590970058,109.61389189573917,0.0
cliffwalking_primary,0.1,50.0,per_group,50,7450,tail_no_cov,500,11.870935383221072,0.02997901047268369,0.0038748657533548376,0.006061300924109133,0.1732116498827411,173.3569301748072,0.22
cliffwalking_primary,0.1,50.0,per_group,50,7450,tis,500,11.870935383221072,0.02956036591279559,0.003693690674437116,0.007028238062114109,0.17195961735984097,174.19011762065452,0.22
cliffwalking_primary,0.1,50.0,per_group,50,7450,uniform,500,11.870935383221072,1.6831257988844848,0.1033946146514492,-0.0794609673215152,1.296214526130732,8104.236782959192,0.0
cliffwalking_primary,0.1,100.0,per_group,100,14900,learned_mean,500,11.870935383221072,0.011366825644278407,0.0007830003092562999,0.002707993533785469,0.10668766062276226,158.69398288524738,0.17
cliffwalking_primary,0.1,100.0,per_group,100,14900,mc_ucb_frozen,500,11.870935383221072,0.8407299386763453,0.0482045138215805,0.047645841942832834,0.9165915625877853,8209.564516844282,0.17
cliffwalking_primary,0.1,100.0,per_group,100,14900,mean_influence,500,11.870935383221072,0.009730543933518515,0.000699763450240209,0.0020939087216902976,0.09872006270939274,129.23243813879475,0.0
cliffwalking_primary,0.1,100.0,per_group,100,14900,occupancy,500,11.870935383221072,0.012474384020002382,0.0008877680401646286,0.0024803013878892913,0.11177306724856359,167.2151034804596,0.0
cliffwalking_primary,0.1,100.0,per_group,100,14900,oracle_no_cov,500,11.870935383221072,0.007462043639206476,0.0004821473549599891,0.005061293299712596,0.08632108438010887,106.09222263365645,0.0
cliffwalking_primary,0.1,100.0,per_group,100,14900,oracle_tail,500,11.870935383221072,0.00763120929142349,0.00047730794216802416,0.004159416244672553,0.08734510221924538,105.8325229593952,0.0
cliffwalking_primary,0.1,100.0,per_group,100,14900,tail_no_cov,500,11.870935383221072,0.0108212019720242,0.0007747804317549331,0.007566148166716012,0.10385338909634627,139.53124138539994,0.17
cliffwalking_primary,0.1,100.0,per_group,100,14900,tis,500,11.870935383221072,0.010754975561959132,0.0007664120941018695,0.0072436808664109375,0.10355651864838772,139.72040643696792,0.17
cliffwalking_primary,0.1,100.0,per_group,100,14900,uniform,500,11.870935383221072,0.8184198740712572,0.04804448353385393,0.08551417918200709,0.901516868704742,8104.236782959192,0.0
cliffwalking_primary,0.1,200.0,per_group,200,29800,learned_mean,500,11.870935383221072,0.005348971124865671,0.00037281545119884963,0.003980020536128098,0.07310142404764257,146.8165842288151,0.13
cliffwalking_primary,0.1,200.0,per_group,200,29800,mc_ucb_frozen,500,11.870935383221072,0.35195483590057813,0.02218691281390044,-0.05726136550337932,0.5910792851758506,7289.497435014052,0.13
cliffwalking_primary,0.1,200.0,per_group,200,29800,mean_influence,500,11.870935383221072,0.004370893867098729,0.00028172271039777325,0.003633492184131974,0.06607892591853833,126.10494435526564,0.0
cliffwalking_primary,0.1,200.0,per_group,200,29800,occupancy,500,11.870935383221072,0.005727283477688769,0.0003784267689712618,0.002171503504759638,0.07572341858673914,163.16686598249524,0.0
cliffwalking_primary,0.1,200.0,per_group,200,29800,oracle_no_cov,500,11.870935383221072,0.0034158966732962923,0.00020462230370744128,0.003488594086684522,0.058399892804300156,103.58336203350913,0.0
cliffwalking_primary,0.1,200.0,per_group,200,29800,oracle_tail,500,11.870935383221072,0.003434348959789009,0.00021187174185062613,0.00317824942630725,0.05857567677964612,103.35563043176282,0.0
cliffwalking_primary,0.1,200.0,per_group,200,29800,tail_no_cov,500,11.870935383221072,0.004241991489511811,0.00027207504596960447,0.003230093242451208,0.06511557465985729,125.55555513589492,0.13
cliffwalking_primary,0.1,200.0,per_group,200,29800,tis,500,11.870935383221072,0.004305345882909665,0.00028184175529035924,0.0027527634435114867,0.06562302140415474,125.57621446889421,0.13
cliffwalking_primary,0.1,200.0,per_group,200,29800,uniform,500,11.870935383221072,0.3636173510723177,0.02286232458757653,-0.036230494784464114,0.6025203430986259,8104.236782959192,0.0
cliffwalking_primary,0.1,400.0,per_group,400,59600,learned_mean,500,11.870935383221072,0.002307111206513134,0.00014599779242207078,0.0001858147638526333,0.04808014225796093,139.32811525746698,0.1025
cliffwalking_primary,0.1,400.0,per_group,400,59600,mc_ucb_frozen,500,11.870935383221072,0.17131577654125602,0.01113963558478383,-0.018872661641661636,0.41388670381035114,6485.01749469172,0.1025
cliffwalking_primary,0.1,400.0,per_group,400,59600,mean_influence,500,11.870935383221072,0.0021635187374695547,0.0001360336642557059,-0.0004535591782138617,0.04655801024719343,123.97611289520431,0.0
cliffwalking_primary,0.1,400.0,per_group,400,59600,occupancy,500,11.870935383221072,0.002740954209644793,0.00016637151952048377,-0.001066249718884741,0.05239568624472709,160.4115781387982,0.0
cliffwalking_primary,0.1,400.0,per_group,400,59600,oracle_no_cov,500,11.870935383221072,0.0016551900532540556,0.0001077043003154168,-0.0006800980644845609,0.040719081609129175,101.91257466257926,0.0
cliffwalking_primary,0.1,400.0,per_group,400,59600,oracle_tail,500,11.870935383221072,0.0016735394223859803,0.00010554975038965536,-0.0005828590665086964,0.040945729976411105,101.70123376940508,0.0
cliffwalking_primary,0.1,400.0,per_group,400,59600,tail_no_cov,500,11.870935383221072,0.0018753015938552404,0.00012529325352101815,0.001201042905736376,0.043331447222896696,116.62669335590783,0.1025
cliffwalking_primary,0.1,400.0,per_group,400,59600,tis,500,11.870935383221072,0.0018842631542713884,0.00011823414706757609,0.0007685392553882409,0.04344476258972156,116.37486841095581,0.1025
cliffwalking_primary,0.1,400.0,per_group,400,59600,uniform,500,11.870935383221072,0.21687710831869572,0.01391291585796687,0.01692862698082099,0.4658589690725839,8104.236782959192,0.0
frozenlake_8x8,0.2,50.0,per_group,50,2500,learned_mean,300,0.31477689980554246,0.05228233422567655,0.0025590975007015997,-0.07592875691641701,0.2160387323569523,172.9966957901374,0.3
frozenlake_8x8,0.2,50.0,per_group,50,2500,mc_ucb_frozen,300,0.31477689980554246,0.08239006891538223,0.002449391844716975,-0.15790925133456044,0.24009767506213311,3481.5588990504516,0.3
frozenlake_8x8,0.2,50.0,per_group,50,2500,mean_influence,300,0.31477689980554246,0.032263320687529566,0.0020175799186151313,-0.05735944642972856,0.17049960403490147,81.85720185112326,0.0
frozenlake_8x8,0.2,50.0,per_group,50,2500,occupancy,300,0.31477689980554246,0.04135113046425499,0.002568596084775642,-0.007903341357735844,0.2035356402430179,163.18348535217675,0.0
frozenlake_8x8,0.2,50.0,per_group,50,2500,oracle_no_cov,300,0.31477689980554246,0.03169350925071933,0.002090790487199115,-0.05513107863397716,0.16955797368700484,87.23836211651484,0.0
frozenlake_8x8,0.2,50.0,per_group,50,2500,oracle_tail,300,0.31477689980554246,0.032263320687529566,0.0020175799186151313,-0.05735944642972856,0.17049960403490147,81.85720185112326,0.0
frozenlake_8x8,0.2,50.0,per_group,50,2500,tail_no_cov,300,0.31477689980554246,0.05648630613119809,0.002847383562391994,-0.05619962793766069,0.2313142065634105,295.64938052790654,0.3
frozenlake_8x8,0.2,50.0,per_group,50,2500,tis,300,0.31477689980554246,0.05644691092696732,0.00281106070092624,-0.05933881047646525,0.23044050407411432,286.11724134781946,0.3
frozenlake_8x8,0.2,50.0,per_group,50,2500,uniform,300,0.31477689980554246,0.06087442503750035,0.0028668145266201508,-0.05080152142784809,0.24184414905656193,298.21601123867316,0.0
frozenlake_8x8,0.2,100.0,per_group,100,5000,learned_mean,300,0.31477689980554246,0.027469871526366513,0.0018515222552011857,-0.04122053777382209,0.1608008972420539,133.66208221226037,0.24
frozenlake_8x8,0.2,100.0,per_group,100,5000,mc_ucb_frozen,300,0.31477689980554246,0.06874164611350277,0.0026707877266243588,-0.15559504063130794,0.21137825178781755,6033.316930524465,0.24
frozenlake_8x8,0.2,100.0,per_group,100,5000,mean_influence,300,0.31477689980554246,0.01610415316619668,0.0013014809328971446,-0.03002579743414554,0.12350485612420757,80.12308814800316,0.0
