environment,alpha,budget_per_group,budget_unit,budget_value,total_budget,comparison,replications,mean_difference,se,ci95_low,ci95_high
cliffwalking_primary,0.1,400.0,per_group,400,59600,mc_ucb_frozen-minus-tis,500,0.1694315133869846,0.011137783982434582,0.14760145678141282,0.19126156999255636
cliffwalking_primary,0.1,400.0,per_group,400,59600,mean_influence-minus-tis,500,0.0002792555831981666,0.00010061286413513761,8.205436949329688e-05,0.0004764567969030363
cliffwalking_primary,0.1,400.0,per_group,400,59600,occupancy-minus-tis,500,0.0008566910553734045,0.00013813530082492072,0.0005859458657565598,0.0011274362449902491
cliffwalking_primary,0.1,400.0,per_group,400,59600,oracle_no_cov-minus-tis,500,-0.00022907310101733257,5.800145098207007e-05,-0.0003427559449421899,-0.00011539025709247523
cliffwalking_primary,0.1,400.0,per_group,400,59600,oracle_tail-minus-tis,500,-0.00021072373188540822,5.8981418491367336e-05,-0.0003263273121284882,-9.512015164232824e-05
cliffwalking_primary,0.1,400.0,per_group,400,59600,tail_no_cov-minus-tis,500,-8.961560416148164e-06,2.9820390175525795e-05,-6.740952516017872e-05,4.9486404327882394e-05
cliffwalking_primary,0.1,400.0,per_group,400,59600,uniform-minus-tis,500,0.21499284516442432,0.013914780260507737,0.18771987585382915,0.2422658144750195
frozenlake_8x8,0.2,50.0,per_group,50,2500,learned_mean-minus-tis,300,-0.0041645767012907665,0.002441790718791132,-0.008950486510121387,0.0006213331075398528
frozenlake_8x8,0.2,50.0,per_group,50,2500,mc_ucb_frozen-minus-tis,300,0.025943157988414896,0.0038033503344269584,0.018488591332938058,0.033397724643891735
frozenlake_8x8,0.2,50.0,per_group,50,2500,mean_influence-minus-tis,300,-0.024183590239437763,0.0029716005695228404,-0.03000792735570253,-0.018359253123172995
frozenlake_8x8,0.2,50.0,per_group,50,2500,occupancy-minus-tis,300,-0.01509578046271234,0.0034116800326568467,-0.021782673326719758,-0.008408887598704921
frozenlake_8x8,0.2,50.0,per_group,50,2500,oracle_no_cov-minus-tis,300,-0.024753401676247996,0.0030579926617294068,-0.03074706729323763,-0.01875973605925836
frozenlake_8x8,0.2,50.0,per_group,50,2500,oracle_tail-minus-tis,300,-0.024183590239437763,0.0029716005695228404,-0.03000792735570253,-0.018359253123172995
frozenlake_8x8,0.2,50.0,per_group,50,2500,tail_no_cov-minus-tis,300,3.939520423077806e-05,0.0011735788440803815,-0.0022608193301667696,0.0023396097386283255
frozenlake_8x8,0.2,50.0,per_group,50,2500,uniform-minus-tis,300,0.004427514110533027,0.0033429657860663173,-0.002124698830156955,0.010979727051223008
frozenlake_8x8,0.2,100.0,per_group,100,5000,learned_mean-minus-tis,300,-0.0068494379485785385,0.0019430222471466072,-0.010657761552985888,-0.0030411143441711887
frozenlake_8x8,0.2,100.0,per_group,100,5000,mc_ucb_frozen-minus-tis,300,0.03442233663855772,0.0032984483244070536,0.027957377922719892,0.040887295354395545
frozenlake_8x8,0.2,100.0,per_group,100,5000,mean_influence-minus-tis,300,-0.018215156308748367,0.0022954364085228684,-0.02271421166945319,-0.013716100948043545
frozenlake_8x8,0.2,100.0,per_group,100,5000,occupancy-minus-tis,300,-0.005652377362990626,0.0026178126742044832,-0.010783290204431414,-0.000521464521549839
frozenlake_8x8,0.2,100.0,per_group,100,5000,oracle_no_cov-minus-tis,300,-0.016601371781863196,0.0023350628890627576,-0.0211780950444262,-0.012024648519300192
frozenlake_8x8,0.2,100.0,per_group,100,5000,oracle_tail-minus-tis,300,-0.018215156308748367,0.0022954364085228684,-0.02271421166945319,-0.013716100948043545
frozenlake_8x8,0.2,100.0,per_group,100,5000,tail_no_cov-minus-tis,300,0.0005987118316688251,0.0009426073937653124,-0.0012487986601111872,0.0024462223234488372
frozenlake_8x8,0.2,100.0,per_group,100,5000,uniform-minus-tis,300,0.005556506770939467,0.002453808411100823,0.0007470422851818537,0.01036597125669708
frozenlake_8x8,0.2,200.0,per_group,200,10000,learned_mean-minus-tis,300,-0.006790787606246407,0.0013068552693651903,-0.00935222393420218,-0.004229351278290634
frozenlake_8x8,0.2,200.0,per_group,200,10000,mc_ucb_frozen-minus-tis,300,0.031159612072830287,0.002603600220202875,0.026056555641232652,0.03626266850442792
