t,budget_per_kernel,method,replications,truth,mse,mse_se,bias
0.0,400,tis_anchored,1000,0.3,4.517700474805928e-05,2.0038153128999965e-06,-8.382160638993885e-07
0.0,400,oracle_tail,1000,0.3,2.979930555555556e-05,1.2641855257117883e-06,7.499999999996399e-06
0.0,400,complete_rollout,1000,0.3,2.8426388888888863e-05,1.2241124967594377e-06,9.333333333331006e-05
0.5,25,uniform,1000,0.3,0.00043484444444444456,2.2403855375775428e-05,-0.0005333333333333335
0.5,25,learned_occupancy,1000,0.3,0.0011407407407407408,5.6035659622630654e-05,-0.0008518518518518574
0.5,25,learned_mean,1000,0.3,0.0011866272248875064,5.9382101171696666e-05,-0.001056120731120738
0.5,25,tis,1000,0.3,0.0015462083440617995,9.919235276962e-05,-0.001926897737312896
0.5,25,tis_anchored,1000,0.3,0.0010991574971137583,6.07972726380863e-05,-0.0013039785423467714
0.5,25,oracle_tail,1000,0.3,0.00035068563089002967,1.801417925269507e-05,-0.000984984617060092
0.5,25,complete_rollout,1000,0.3,0.0004999111111111112,2.288900641711894e-05,0.0012133333333333273
0.5,50,uniform,1000,0.3,0.00023155555555555557,1.2202187804421589e-05,-0.00010666666666667446
0.5,50,learned_occupancy,1000,0.3,0.0004838348765432098,2.2191013394293363e-05,0.00040277777777776396
0.5,50,learned_mean,1000,0.3,0.0005114984934854786,2.5144674961124107e-05,0.0001776114902191601
0.5,50,tis,1000,0.3,0.0007390121549817957,4.332682308259011e-05,0.0010595738411861692
0.5,50,tis_anchored,1000,0.3,0.00043767437279704707,2.6285423132124235e-05,-0.00019177450138105367
0.5,50,oracle_tail,1000,0.3,0.00016899822202031054,9.017421697834155e-06,-0.00013521300679152724
0.5,50,complete_rollout,1000,0.3,0.000228933333333333,1.0458862537740942e-05,-8.666666666666661e-05
0.5,100,uniform,1000,0.3,0.00011440000000000003,4.9515551738196484e-06,-0.00021333333333333908
0.5,100,learned_occupancy,1000,0.3,0.00019117283950617286,8.646099040316302e-06,-0.000811111111111116
0.5,100,learned_mean,1000,0.3,0.0001952973279534811,9.157351198595512e-06,-0.0010801952427748956
0.5,100,tis,1000,0.3,0.00041445578853540417,2.6750712755175156e-05,-0.0012967152092030498
0.5,100,tis_anchored,1000,0.3,0.0001901687854634343,9.691746859789707e-06,-0.0010787725202346477
0.5,100,oracle_tail,1000,0.3,8.620733100878817e-05,4.2483616883469665e-06,-0.0004524057232434891
0.5,100,complete_rollout,1000,0.3,0.00011268888888888889,5.005833742532576e-06,0.0003666666666666422
0.5,200,uniform,1000,0.3,5.304444444444447e-05,2.3689316204161306e-06,0.0005333333333333314
0.5,200,learned_occupancy,1000,0.3,7.525470972702804e-05,3.446679494224238e-06,0.0006274509803921469
0.5,200,learned_mean,1000,0.3,7.664816040223689e-05,3.7084487050444492e-06,0.0006816247286862948
0.5,200,tis,1000,0.3,0.00017178586061467554,9.09469032044571e-06,0.0008661552650570441
0.5,200,tis_anchored,1000,0.3,7.395261329076305e-05,3.7154337682490367e-06,0.0003040562805995113
0.5,200,oracle_tail,1000,0.3,4.2956347669184586e-05,1.9356930251783732e-06,0.00018345861113725542
0.5,200,complete_rollout,1000,0.3,5.36583333333334e-05,2.3892091343958306e-06,-8.166666666666744e-05
0.5,400,uniform,1000,0.3,2.6928472222222236e-05,1.1863321951577702e-06,0.00023249999999999898
0.5,400,learned_occupancy,1000,0.3,3.730955035302862e-05,1.6575055625795654e-06,0.0004091415830546188
0.5,400,learned_mean,1000,0.3,3.74061519232146e-05,1.6404285048833337e-06,0.00037833342262017904
0.5,400,tis,1000,0.3,8.474338790319394e-05,4.391800923346252e-06,0.00031741962648091596
0.5,400,tis_anchored,1000,0.3,3.142892561864634e-05,1.3542385873122462e-06,0.0002591295017579117
0.5,400,oracle_tail,1000,0.3,2.0814487562319363e-05,8.675850041302391e-07,0.0003556633189590526
0.5,400,complete_rollout,1000,0.3,2.8731249999999987e-05,1.222724016115951e-06,-5.7500000000022865e-05
1.0,25,uniform,1000,0.3,0.00041564444444444447,2.057131313526908e-05,9.992007221626408e-19
1.0,25,learned_occupancy,1000,0.3,0.0011599451303155011,5.834375210536707e-05,-0.0008518518518518573
1.0,25,learned_mean,1000,0.3,0.0014364680191363691,7.883508678470411e-05,-0.001031818181818188
1.0,25,tis,1000,0.3,0.00032378091668766265,1.8748278900215416e-05,0.0002916666666666576
1.0,25,tis_anchored,1000,0.3,0.00043645886474169283,2.1736783321365908e-05,0.00014141414141412788
1.0,25,oracle_tail,1000,0.3,5.734567901234568e-05,2.526220929731544e-06,-7.407407407412358e-06
1.0,25,complete_rollout,1000,0.3,0.0004110222222222222,1.892434840536145e-05,0.00013333333333332716
1.0,50,uniform,1000,0.3,0.00018057777777777777,8.453703720149504e-06,0.0005533333333333268
1.0,50,learned_occupancy,1000,0.3,0.0003869598765432098,1.8079310500896297e-05,-0.0001388888888889035
1.0,50,learned_mean,1000,0.3,0.00046652091303267946,2.952212526165472e-05,-0.000546594268024736
1.0,50,tis,1000,0.3,7.056584362139915e-05,3.988951715690046e-06,0.0003574074074074015
1.0,50,tis_anchored,1000,0.3,0.0001037490922294844,5.094934078823678e-06,0.0005669934640522802
1.0,50,oracle_tail,1000,0.3,2.3927688129256664e-05,1.0871834715067002e-06,0.00017817561807330356
1.0,50,complete_rollout,1000,0.3,0.00021368888888888865,9.044039799252222e-06,-0.00038666666666666727
1.0,100,uniform,1000,0.3,9.791111111111115e-05,4.360805943897548e-06,9.333333333333005e-05
1.0,100,learned_occupancy,1000,0.3,0.00016509259259259263,7.641772214381629e-06,0.00010555555555554691
1.0,100,learned_mean,1000,0.3,0.00018321564488195274,1.0677496344916298e-05,-0.0002700499124238348
1.0,100,tis,1000,0.3,2.1701610621122074e-05,1.1171330419305497e-06,1.6700749829515193e-06
1.0,100,tis_anchored,1000,0.3,3.65393633302724e-05,1.7435483245056813e-06,-1.2828282828292126e-05
1.0,100,oracle_tail,1000,0.3,1.2602795633098636e-05,5.718671867598591e-07,-2.464646464647069e-05
1.0,100,complete_rollout,1000,0.3,0.0001084333333333334,4.604998460981342e-06,-0.0001766666666666914
1.0,200,uniform,1000,0.3,4.7391666666666696e-05,2.226186679949785e-06,-8.333333333337467e-06
1.0,200,learned_occupancy,1000,0.3,6.963067089580932e-05,3.282396846352101e-06,-3.676470588236247e-05
1.0,200,learned_mean,1000,0.3,7.195121173582507e-05,3.4380459290893505e-06,0.00014117020821590343
1.0,200,tis,1000,0.3,8.264070131851055e-06,3.741400998868794e-07,8.864027538725738e-05
1.0,200,tis_anchored,1000,0.3,1.4022864248765886e-05,6.480193765177491e-07,2.8248587570611995e-05
1.0,200,oracle_tail,1000,0.3,5.611116305469841e-06,2.563672109701449e-07,4.878522837706112e-05
1.0,200,complete_rollout,1000,0.3,5.530000000000006e-05,3.1427650496565183e-06,-0.00042000000000000137
1.0,400,uniform,1000,0.3,2.4633333333333323e-05,1.2231853251846816e-06,-0.00018333333333333968
1.0,400,learned_occupancy,1000,0.3,3.217662243400214e-05,1.6052583579446994e-06,-8.695652173913704e-05
1.0,400,learned_mean,1000,0.3,3.298589996927708e-05,1.6506174318458587e-06,-0.00019475981805230723
1.0,400,tis,1000,0.3,3.99871985086972e-06,1.856390051452676e-07,4.931714719263902e-06
1.0,400,tis_anchored,1000,0.3,6.600008991908104e-06,2.958675637338221e-07,4.336966394186581e-05
1.0,400,oracle_tail,1000,0.3,3.014237799373282e-06,1.41551533498514e-07,2.1045677614187684e-05
1.0,400,complete_rollout,1000,0.3,2.896875e-05,1.2878462280073058e-06,-0.0001258333333333564
