t,budget_per_kernel,replication,method,truth,error
0.0,25,14,tis,0.3,-0.04999999999999999
0.0,25,14,tis_anchored,0.3,-0.01428571428571429
0.0,25,14,oracle_tail,0.3,0.020000000000000018
0.0,25,14,complete_rollout,0.3,0.006666666666666654
0.0,25,15,uniform,0.3,-0.06
0.0,25,15,learned_occupancy,0.3,-0.07777777777777778
0.0,25,15,learned_mean,0.3,-0.07777777777777778
0.0,25,15,tis,0.3,-0.2503968253968254
0.0,25,15,tis_anchored,0.3,-0.14343434343434347
0.0,25,15,oracle_tail,0.3,-0.06
0.0,25,15,complete_rollout,0.3,0.006666666666666654
0.0,25,16,uniform,0.3,-0.006666666666666654
0.0,25,16,learned_occupancy,0.3,-0.003703703703703709
0.0,25,16,learned_mean,0.3,-0.003703703703703709
0.0,25,16,tis,0.3,0.0222222222222222
0.0,25,16,tis_anchored,0.3,-0.0222222222222222
0.0,25,16,oracle_tail,0.3,-0.006666666666666654
0.0,25,16,complete_rollout,0.3,0.03333333333333338
0.0,25,17,uniform,0.3,-0.033333333333333326
0.0,25,17,learned_occupancy,0.3,-0.003703703703703709
0.0,25,17,learned_mean,0.3,-0.003703703703703709
0.0,25,17,tis,0.3,0.027380952380952395
0.0,25,17,tis_anchored,0.3,-0.032323232323232365
0.0,25,17,oracle_tail,0.3,-0.033333333333333326
0.0,25,17,complete_rollout,0.3,0.03333333333333338
0.0,25,18,uniform,0.3,-0.006666666666666654
0.0,25,18,learned_occupancy,0.3,-0.040740740740740744
0.0,25,18,learned_mean,0.3,-0.04999999999999999
0.0,25,18,tis,0.3,0.033333333333333326
0.0,25,18,tis_anchored,0.3,0.033333333333333326
0.0,25,18,oracle_tail,0.3,-0.006666666666666654
0.0,25,18,complete_rollout,0.3,0.03333333333333338
0.0,25,19,uniform,0.3,-0.006666666666666654
0.0,25,19,learned_occupancy,0.3,-0.040740740740740744
0.0,25,19,learned_mean,0.3,-0.041666666666666685
0.0,25,19,tis,0.3,0.0015873015873015817
0.0,25,19,tis_anchored,0.3,-0.011111111111111127
0.0,25,19,oracle_tail,0.3,-0.006666666666666654
0.0,25,19,complete_rollout,0.3,0.006666666666666654
0.0,25,20,uniform,0.3,-0.006666666666666654
0.0,25,20,learned_occupancy,0.3,-0.003703703703703709
0.0,25,20,learned_mean,0.3,-0.003703703703703709
0.0,25,20,tis,0.3,-0.05595238095238095
0.0,25,20,tis_anchored,0.3,-0.01428571428571429
0.0,25,20,oracle_tail,0.3,-0.006666666666666654
0.0,25,20,complete_rollout,0.3,-0.033333333333333326
0.0,25,21,uniform,0.3,-0.020000000000000018
0.0,25,21,learned_occupancy,0.3,-0.07777777777777778
0.0,25,21,learned_mean,0.3,-0.040740740740740744
0.0,25,21,tis,0.3,-0.13333333333333333
0.0,25,21,tis_anchored,0.3,-0.06190476190476191
0.0,25,21,oracle_tail,0.3,-0.020000000000000018
0.0,25,21,complete_rollout,0.3,0.019999999999999962
0.0,25,22,uniform,0.3,0.006666666666666654
0.0,25,22,learned_occupancy,0.3,-0.003703703703703709
0.0,25,22,learned_mean,0.3,-0.003703703703703709
0.0,25,22,tis,0.3,-0.07777777777777778
0.0,25,22,tis_anchored,0.3,-0.0222222222222222
0.0,25,22,oracle_tail,0.3,0.006666666666666654
0.0,25,22,complete_rollout,0.3,-0.006666666666666654
0.0,25,23,uniform,0.3,-0.020000000000000018
0.0,25,23,learned_occupancy,0.3,-0.040740740740740744
0.0,25,23,learned_mean,0.3,-0.040740740740740744
0.0,25,23,tis,0.3,0.033333333333333326
0.0,25,23,tis_anchored,0.3,-0.022222222222222254
0.0,25,23,oracle_tail,0.3,-0.020000000000000018
0.0,25,23,complete_rollout,0.3,-0.006666666666666654
0.0,25,24,uniform,0.3,-0.006666666666666654
0.0,25,24,learned_occupancy,0.3,-0.003703703703703709
0.0,25,24,learned_mean,0.3,0.0
0.0,25,24,tis,0.3,0.027380952380952395
0.0,25,24,tis_anchored,0.3,0.023232323232323215
0.0,25,24,oracle_tail,0.3,-0.006666666666666654
0.0,25,24,complete_rollout,0.3,-0.006666666666666654
0.0,25,25,uniform,0.3,0.020000000000000018
0.0,25,25,learned_occupancy,0.3,0.033333333333333326
0.0,25,25,learned_mean,0.3,0.033333333333333326
0.0,25,25,tis,0.3,0.033333333333333326
0.0,25,25,tis_anchored,0.3,0.033333333333333326
0.0,25,25,oracle_tail,0.3,0.020000000000000018
0.0,25,25,complete_rollout,0.3,-0.020000000000000018
0.0,25,26,uniform,0.3,-0.04666666666666669
0.0,25,26,learned_occupancy,0.3,-0.07777777777777778
0.0,25,26,learned_mean,0.3,-0.07407407407407407
0.0,25,26,tis,0.3,-0.14920634920634918
0.0,25,26,tis_anchored,0.3,-0.08412698412698416
0.0,25,26,oracle_tail,0.3,-0.04666666666666669
0.0,25,26,complete_rollout,0.3,0.006666666666666654
0.0,25,27,uniform,0.3,0.006666666666666654
0.0,25,27,learned_occupancy,0.3,0.033333333333333326
0.0,25,27,learned_mean,0.3,0.033333333333333326
0.0,25,27,tis,0.3,0.033333333333333326
0.0,25,27,tis_anchored,0.3,0.033333333333333326
0.0,25,27,oracle_tail,0.3,0.006666666666666654
0.0,25,27,complete_rollout,0.3,-0.04666666666666669
0.0,25,28,uniform,0.3,-0.020000000000000018
0.0,25,28,learned_occupancy,0.3,-0.040740740740740744
0.0,25,28,learned_mean,0.3,-0.037037037037037035
0.0,25,28,tis,0.3,0.0222222222222222
0.0,25,28,tis_anchored,0.3,0.016666666666666663
0.0,25,28,oracle_tail,0.3,-0.020000000000000018
0.0,25,28,complete_rollout,0.3,-0.006666666666666654
0.0,25,29,uniform,0.3,0.006666666666666654
0.0,25,29,learned_occupancy,0.3,0.033333333333333326
0.0,25,29,learned_mean,0.3,0.033333333333333326
0.0,25,29,tis,0.3,0.033333333333333326
0.0,25,29,tis_anchored,0.3,0.033333333333333326
0.0,25,29,oracle_tail,0.3,0.006666666666666654
0.0,25,29,complete_rollout,0.3,0.006666666666666654
0.0,25,30,uniform,0.3,0.006666666666666654
0.0,25,30,learned_occupancy,0.3,-0.003703703703703709
0.0,25,30,learned_mean,0.3,-0.003703703703703709
0.0,25,30,tis,0.3,0.027380952380952395
0.0,25,30,tis_anchored,0.3,-0.0243867243867244
0.0,25,30,oracle_tail,0.3,0.006666666666666654
0.0,25,30,complete_rollout,0.3,-0.033333333333333326
0.0,25,31,uniform,0.3,0.033333333333333326
0.0,25,31,learned_occupancy,0.3,0.033333333333333326
0.0,25,31,learned_mean,0.3,0.033333333333333326
0.0,25,31,tis,0.3,0.033333333333333326
0.0,25,31,tis_anchored,0.3,0.033333333333333326
0.0,25,31,oracle_tail,0.3,0.033333333333333326
0.0,25,31,complete_rollout,0.3,0.006666666666666654
0.0,25,32,uniform,0.3,-0.006666666666666654
0.0,25,32,learned_occupancy,0.3,-0.003703703703703709
0.0,25,32,learned_mean,0.3,-0.003703703703703709
0.0,25,32,tis,0.3,0.021428571428571408
0.0,25,32,tis_anchored,0.3,0.023232323232323215
0.0,25,32,oracle_tail,0.3,-0.006666666666666654
0.0,25,32,complete_rollout,0.3,0.03333333333333338
0.0,25,33,uniform,0.3,-0.020000000000000018
0.0,25,33,learned_occupancy,0.3,-0.003703703703703709
0.0,25,33,learned_mean,0.3,-0.00833333333333336
0.0,25,33,tis,0.3,0.011111111111111127
0.0,25,33,tis_anchored,0.3,-0.030952380952380953
0.0,25,33,oracle_tail,0.3,-0.020000000000000018
0.0,25,33,complete_rollout,0.3,-0.006666666666666654
0.0,25,34,uniform,0.3,-0.006666666666666654
0.0,25,34,learned_occupancy,0.3,-0.003703703703703709
0.0,25,34,learned_mean,0.3,-0.003703703703703709
0.0,25,34,tis,0.3,-0.003703703703703709
0.0,25,34,tis_anchored,0.3,-0.003703703703703709
0.0,25,34,oracle_tail,0.3,-0.006666666666666654
0.0,25,34,complete_rollout,0.3,0.019999999999999962
0.0,25,35,uniform,0.3,0.020000000000000018
