t,budget_per_kernel,method,sqerr_minus_occupancy_mean,se,z
0.5,25,tis_anchored,-4.158324362698246e-05,4.8244504957164144e-05,-0.86192704565844
0.5,25,oracle_tail,-0.000790055109850711,5.299241286919534e-05,-14.908834436372166
0.5,25,complete_rollout,-0.0006408296296296295,6.027532081462244e-05,-10.631708317248275
0.5,50,uniform,-0.0002522793209876542,1.7343701456395766e-05,-14.545875436216194
0.5,50,learned_mean,2.7663616942268772e-05,9.732176265290501e-06,2.84249033188293
0.5,50,tis,0.00025517727843858587,4.510750192752535e-05,5.6570917815085755
0.5,50,tis_anchored,-4.616050374616273e-05,2.3098849676303533e-05,-1.998389720398826
0.5,50,oracle_tail,-0.00031483665452289924,2.021275751142444e-05,-15.576135732343824
0.5,50,complete_rollout,-0.0002549015432098768,2.4807361481809327e-05,-10.275237993238028
0.5,100,uniform,-7.67728395061728e-05,6.680781698160808e-06,-11.491595291507288
0.5,100,learned_mean,4.124488447308243e-06,3.093208258471316e-06,1.333401472730644
0.5,100,tis,0.00022328294902923133,2.5804364111280998e-05,8.652914215065575
0.5,100,tis_anchored,-1.004054042738536e-06,8.266022455321536e-06,-0.12146761615583826
0.5,100,oracle_tail,-0.00010496550849738467,7.3822877900985036e-06,-14.21856089628065
0.5,100,complete_rollout,-7.848395061728393e-05,1.0080884323021715e-05,-7.785423193285745
0.5,200,uniform,-2.2210265282583575e-05,2.5337779748509735e-06,-8.765671460969225
0.5,200,learned_mean,1.393450675208861e-06,1.2830358521753145e-06,1.0860574728651147
0.5,200,tis,9.65311508876475e-05,9.314464778483562e-06,10.36357463186019
0.5,200,tis_anchored,-1.302096436264986e-06,3.845217573324298e-06,-0.33862750583949075
0.5,200,oracle_tail,-3.2298362057843465e-05,2.9809801098608253e-06,-10.83481300361692
0.5,200,complete_rollout,-2.1596376393694646e-05,4.249679002026176e-06,-5.081884157226429
0.5,400,uniform,-1.0381078130806381e-05,1.115412707018943e-06,-9.30693909571005
0.5,400,learned_mean,9.660157018598408e-08,4.558313009361881e-07,0.21192395078526508
0.5,400,tis,4.743383755016532e-05,4.5841849644177085e-06,10.347278287927995
0.5,400,tis_anchored,-5.880624734382279e-06,1.580757425630986e-06,-3.72013102012469
0.5,400,oracle_tail,-1.6495062790709254e-05,1.4134024124796982e-06,-11.67046457899419
0.5,400,complete_rollout,-8.578300353028627e-06,2.0825485651762687e-06,-4.119135801427301
1.0,25,uniform,-0.0007443006858710563,5.339196597130632e-05,-13.940312410879478
1.0,25,learned_mean,0.00027652288882086843,5.400218645306601e-05,5.1205869055172055
1.0,25,tis,-0.000836164213627838,5.674811153610699e-05,-14.734661489057899
1.0,25,tis_anchored,-0.0007234862655738078,5.4486196879404164e-05,-13.278340332233508
1.0,25,oracle_tail,-0.001102599451303155,5.806961022994767e-05,-18.98754696194813
1.0,25,complete_rollout,-0.0007489229080932785,6.206022815210544e-05,-12.067678936946844
1.0,50,uniform,-0.00020638209876543202,1.5609630283665424e-05,-13.221459766500617
1.0,50,learned_mean,7.956103648946963e-05,2.5549960771437467e-05,3.1139396729881335
1.0,50,tis,-0.0003163940329218107,1.7999648701578973e-05,-17.577789331747116
1.0,50,tis_anchored,-0.0002832107843137254,1.7517254534760028e-05,-16.16753263199673
1.0,50,oracle_tail,-0.0003630321884139531,1.8077505462674273e-05,-20.081984716504596
1.0,50,complete_rollout,-0.00017327098765432115,1.9955705887434643e-05,-8.682779182640859
1.0,100,uniform,-6.718148148148148e-05,6.072599911793152e-06,-11.063050827869171
1.0,100,learned_mean,1.812305228936012e-05,8.467770853348894e-06,2.140238866075679
1.0,100,tis,-0.00014339098197147055,7.568180496578106e-06,-18.946559484978412
1.0,100,tis_anchored,-0.0001285532292623202,7.507443444016025e-06,-17.123436256424473
1.0,100,oracle_tail,-0.000152489796959494,7.637312051473411e-06,-19.966422208723976
1.0,100,complete_rollout,-5.665925925925923e-05,9.133523526855272e-06,-6.203439350943169
1.0,200,uniform,-2.2239004229142645e-05,2.485917835777002e-06,-8.9459932702046
1.0,200,learned_mean,2.32054084001575e-06,1.884879446691501e-06,1.231134884561959
1.0,200,tis,-6.136660076395827e-05,3.239356956289982e-06,-18.944068712403062
1.0,200,tis_anchored,-5.560780664704344e-05,3.2122966881491993e-06,-17.310918649635227
1.0,200,oracle_tail,-6.401955459033948e-05,3.273631002096728e-06,-19.556130348635993
1.0,200,complete_rollout,-1.433067089580927e-05,4.595171550907295e-06,-3.118636755352419
1.0,400,uniform,-7.54328910066881e-06,9.895614577069626e-07,-7.622860653999514
1.0,400,learned_mean,8.092775352749429e-07,6.59271685993497e-07,1.2275326735068153
1.0,400,tis,-2.8177902583132408e-05,1.600339439165015e-06,-17.607453702343527
1.0,400,tis_anchored,-2.5576613442094028e-05,1.5906712558290444e-06,-16.079132220669766
1.0,400,oracle_tail,-2.9162384634628848e-05,1.6047557569224357e-06,-18.172475474121875
1.0,400,complete_rollout,-3.2078724340021315e-06,2.106936730209243e-06,-1.5225290764585764
