t,budget_per_kernel,method,sqerr_minus_occupancy_mean,se,z
0.0,25,uniform,-0.0007504109739368997,5.77859135076518e-05,-12.98605366578713
0.0,25,learned_mean,-1.3727379789789212e-06,1.7428061425962234e-05,-0.07876595941611618
0.0,25,tis,0.0007731706025363063,0.00011824397250180906,6.538773911071681
0.0,25,tis_anchored,0.000226723435536629,5.66719995159233e-05,4.000625308322249
0.0,25,oracle_tail,-0.0007504109739368997,5.77859135076518e-05,-12.98605366578713
0.0,25,complete_rollout,-0.0007397443072702332,6.566375225067245e-05,-11.265641726446688
0.0,50,uniform,-0.0002509657407407406,1.9336759652481072e-05,-12.978686463041367
0.0,50,learned_mean,-3.6592046877206283e-06,5.168712730919552e-06,-0.7079528072494811
0.0,50,tis,0.0007105596136903098,7.441219474980394e-05,9.548967290635948
0.0,50,tis_anchored,0.00012961795076396612,2.476214047200513e-05,5.234521260813695
0.0,50,oracle_tail,-0.0002509657407407406,1.9336759652481072e-05,-12.978686463041367
0.0,50,complete_rollout,-0.0002421657407407409,2.531422868403398e-05,-9.566388285552545
0.0,100,uniform,-6.610123456790118e-05,6.315692314728133e-06,-10.466189813229779
0.0,100,learned_mean,3.736487918618776e-06,2.2329542614258162e-06,1.6733383138053635
0.0,100,tis,0.0004228517107694959,3.1844111696024536e-05,13.278803780300938
0.0,100,tis_anchored,4.875386572566773e-05,8.317276147712207e-06,5.861758688759927
0.0,100,oracle_tail,-6.610123456790118e-05,6.315692314728133e-06,-10.466189813229779
0.0,100,complete_rollout,-6.520123456790118e-05,9.777941023509871e-06,-6.668196751354169
0.0,200,uniform,-2.7480247981545564e-05,2.8582388258616325e-06,-9.614398815417912
0.0,200,learned_mean,-7.681929135350414e-07,8.849164694423461e-07,-0.8680965266915405
0.0,200,tis,0.00019805997512805775,1.4542526579181857e-05,13.619364836615642
0.0,200,tis_anchored,1.5839826898863762e-05,3.869280267724403e-06,4.093739869657843
0.0,200,oracle_tail,-2.7480247981545564e-05,2.8582388258616325e-06,-9.614398815417912
0.0,200,complete_rollout,-3.158024798154551e-05,4.556726835193503e-06,-6.930467663244167
0.0,400,uniform,-9.10654809509962e-06,1.0955397283848052e-06,-8.312385082123622
0.0,400,learned_mean,-6.898451868486641e-07,4.172482941668728e-07,-1.653320568334714
0.0,400,tis,8.93059870791402e-05,6.5727476996972895e-06,13.587314036601956
0.0,400,tis_anchored,6.271151097404098e-06,1.6210736072514505e-06,3.868517178585684
0.0,400,oracle_tail,-9.10654809509962e-06,1.0955397283848052e-06,-8.312385082123622
0.0,400,complete_rollout,-1.0479464761766311e-05,2.0399012553111992e-06,-5.137241194632044
0.5,25,uniform,-0.0007058962962962962,5.219003844028213e-05,-13.525498685041402
0.5,25,learned_mean,4.588648414676556e-05,1.9144042075280538e-05,2.396906774772283
0.5,25,tis,0.0004054676033210589,9.213171019492051e-05,4.400956005953025
