environment,alpha,budget_per_group,budget_unit,budget_value,total_budget,method,replications,truth,mse,mse_se,bias,estimate_sd,mean_design_constant,pilot_fraction
controlled_untied_v1,0.1,4761.9047619047615,total,100000,100000,tis,400,0.9086716125743334,9.211453085085277e-05,6.586919494041577e-06,-0.00017330359266716776,0.009608084352665795,8.32571511087167,0.08631
controlled_untied_v1,0.1,4761.9047619047615,total,100000,100000,uniform,400,0.9086716125743334,0.00014985978913272985,1.1012247738574061e-05,-0.0008012314232810907,0.012230772536154644,12.984342196050138,0.0
inventory_untied_v1,0.1,150.0,per_group,150,6150,learned_occupancy,300,1.1512371171695401,0.0015173361876150684,0.00013712375009685204,-0.0008370996766382444,0.03900907344601805,8.44143190070708,0.22
inventory_untied_v1,0.1,150.0,per_group,150,6150,oracle_tail,300,1.1512371171695401,0.0007306440556606982,5.794426889498288e-05,-2.0565486376470746e-06,0.027075591905282092,4.240253437087007,0.0
inventory_untied_v1,0.1,150.0,per_group,150,6150,tail_anchored,300,1.1512371171695401,0.0010121593287688586,9.105338544786756e-05,0.00022725206298759737,0.031866795584192996,6.431482497999206,0.22
inventory_untied_v1,0.1,150.0,per_group,150,6150,tis,300,1.1512371171695401,0.0010069269879380708,8.62107704045912e-05,0.00047333723586395537,0.03178159592064922,5.746072316151833,0.22
inventory_untied_v1,0.1,150.0,per_group,150,6150,uniform,300,1.1512371171695401,0.0012323211211328858,9.959634522903602e-05,0.0008861090551991587,0.0351518816160055,7.541326392605826,0.0
inventory_untied_v1,0.1,300.0,per_group,300,12300,learned_occupancy,300,1.1512371171695401,0.0006339318729820078,4.694190781278825e-05,-0.0030804124672995656,0.025030608660458562,7.878503432285491,0.17333333333333334
inventory_untied_v1,0.1,300.0,per_group,300,12300,oracle_tail,300,1.1512371171695401,0.0003290923917315792,2.5588546175454665e-05,-0.0018781564963140066,0.01807356538685461,4.211059254470473,0.0
inventory_untied_v1,0.1,300.0,per_group,300,12300,tail_anchored,300,1.1512371171695401,0.00045636191321773154,3.5016277030597855e-05,-0.002411369535144808,0.021261562902089432,5.941635058630285,0.17333333333333334
inventory_untied_v1,0.1,300.0,per_group,300,12300,tis,300,1.1512371171695401,0.0004141654998169685,3.331336817932237e-05,-0.0018771008511858829,0.02029816190695063,5.274580520882603,0.17333333333333334
inventory_untied_v1,0.1,300.0,per_group,300,12300,uniform,300,1.1512371171695401,0.000583198234173994,4.851584127297531e-05,-0.0026487623847718583,0.024043904073172993,7.541326392605826,0.0
