environment,alpha,budget_per_group,budget_unit,budget_value,total_budget,comparison,replications,mean_difference,se,ci95_low,ci95_high
controlled_untied_v1,0.1,4761.9047619047615,total,100000,100000,oracle_tail-minus-tis,400,-9.092419082983921e-06,2.978888045399606e-06,-1.4931039651967148e-05,-3.2537985140006933e-06
controlled_untied_v1,0.1,4761.9047619047615,total,100000,100000,tail_anchored-minus-tis,400,-1.0031874564208729e-06,2.3934409719082623e-06,-5.6943317613610675e-06,3.6879568485193212e-06
controlled_untied_v1,0.1,4761.9047619047615,total,100000,100000,uniform-minus-tis,400,5.774525828187708e-05,9.14179350533946e-06,3.982734301141174e-05,7.566317355234242e-05
inventory_untied_v1,0.1,150.0,per_group,150,6150,learned_occupancy-minus-tis,300,0.0005104091996769976,0.00010671199496205929,0.00030125368955136135,0.0007195647098026338
inventory_untied_v1,0.1,150.0,per_group,150,6150,oracle_tail-minus-tis,300,-0.00027628293227737263,5.7819595186291464e-05,-0.00038960933884250393,-0.00016295652571224136
inventory_untied_v1,0.1,150.0,per_group,150,6150,tail_anchored-minus-tis,300,5.2323408307875195e-06,4.763282916848153e-05,-8.812800433943627e-05,9.859268600101132e-05
inventory_untied_v1,0.1,150.0,per_group,150,6150,uniform-minus-tis,300,0.00022539413319481495,7.283082988640481e-05,8.264570661746152e-05,0.0003681425597721684
inventory_untied_v1,0.1,300.0,per_group,300,12300,learned_occupancy-minus-tis,300,0.00021976637316503922,4.252183563552741e-05,0.0001364235753194055,0.00030310917101067294
inventory_untied_v1,0.1,300.0,per_group,300,12300,oracle_tail-minus-tis,300,-8.507310808538934e-05,2.0635646313942068e-05,-0.00012551897486071578,-4.462724131006289e-05
inventory_untied_v1,0.1,300.0,per_group,300,12300,tail_anchored-minus-tis,300,4.219641340076304e-05,2.5440909622313182e-05,-7.667769458970796e-06,9.206059626049688e-05
inventory_untied_v1,0.1,300.0,per_group,300,12300,uniform-minus-tis,300,0.00016903273435702552,4.162355284165031e-05,8.745057078739092e-05,0.00025061489792666013
inventory_untied_v1,0.1,600.0,per_group,600,24600,learned_occupancy-minus-tis,300,0.00013660130949920556,2.2501136617193016e-05,9.249908172950726e-05,0.00018070353726890387
inventory_untied_v1,0.1,600.0,per_group,600,24600,oracle_tail-minus-tis,300,-2.4173658230594685e-05,8.352437833877732e-06,-4.0544436384995044e-05,-7.802880076194328e-06
inventory_untied_v1,0.1,600.0,per_group,600,24600,tail_anchored-minus-tis,300,4.2576305426088155e-05,1.1783045371738299e-05,1.948153649748109e-05,6.567107435469523e-05
inventory_untied_v1,0.1,600.0,per_group,600,24600,uniform-minus-tis,300,0.00012891414155135508,1.9776953346113565e-05,9.015131299297248e-05,0.00016767697010973767
inventory_untied_v1,0.1,1200.0,per_group,1200,49200,learned_occupancy-minus-tis,300,4.594177145698472e-05,1.0310615186434215e-05,2.5732965691573657e-05,6.615057722239579e-05
inventory_untied_v1,0.1,1200.0,per_group,1200,49200,oracle_tail-minus-tis,300,-1.5426040768437625e-05,4.644824020751956e-06,-2.452989584911146e-05,-6.32218568776379e-06
inventory_untied_v1,0.1,1200.0,per_group,1200,49200,tail_anchored-minus-tis,300,2.167708306584103e-05,6.1954232373305465e-06,9.534053520673159e-06,3.38201126110089e-05
inventory_untied_v1,0.1,1200.0,per_group,1200,49200,uniform-minus-tis,300,6.036589611705152e-05,1.1050670762351066e-05,3.870658142284343e-05,8.20252108112596e-05
