environment,alpha,budget_per_group,budget_unit,budget_value,total_budget,method,replications,truth,mse,mse_se,bias,estimate_sd,mean_design_constant,pilot_fraction
cliffwalking_primary,0.1,50.0,per_group,50,7450,learned_occupancy,500,11.870935383221072,0.035791652355508734,0.002488132531235315,0.0027816174990737716,0.18935581906036483,238.54908388583524,0.22
cliffwalking_primary,0.1,50.0,per_group,50,7450,oracle_tail,500,11.870935383221072,0.016288300232324554,0.0011219743112646891,0.002750740795652998,0.12772376590970058,109.61389189573917,0.0
cliffwalking_primary,0.1,50.0,per_group,50,7450,tail_anchored,500,11.870935383221072,0.028427496220532176,0.002165217704865611,0.004692269283428487,0.16870804259660394,183.21524521136885,0.22
cliffwalking_primary,0.1,50.0,per_group,50,7450,tis,500,11.870935383221072,0.029560365912795598,0.0036936906744371167,0.007028238062114113,0.171959617359841,174.19011762065452,0.22
cliffwalking_primary,0.1,50.0,per_group,50,7450,uniform,500,11.870935383221072,1.683125798884485,0.1033946146514492,-0.07946096732151518,1.2962145261307323,8104.236782959192,0.0
cliffwalking_primary,0.1,100.0,per_group,100,14900,learned_occupancy,500,11.870935383221072,0.01592400932261985,0.001205799845226244,0.005554771933400961,0.12619430985217156,206.75025960864312,0.17
cliffwalking_primary,0.1,100.0,per_group,100,14900,oracle_tail,500,11.870935383221072,0.007631209291423488,0.00047730794216802367,0.004159416244672538,0.08734510221924537,105.8325229593952,0.0
cliffwalking_primary,0.1,100.0,per_group,100,14900,tail_anchored,500,11.870935383221072,0.01155134854910662,0.0008134482298343026,0.002451373469989129,0.10755685133805641,155.88942522519744,0.17
cliffwalking_primary,0.1,100.0,per_group,100,14900,tis,500,11.870935383221072,0.010754975561959134,0.0007664120941018697,0.007243680866410912,0.10355651864838772,139.72040643696792,0.17
cliffwalking_primary,0.1,100.0,per_group,100,14900,uniform,500,11.870935383221072,0.818419874071257,0.04804448353385392,0.08551417918200707,0.901516868704742,8104.236782959192,0.0
cliffwalking_primary,0.1,200.0,per_group,200,29800,learned_occupancy,500,11.870935383221072,0.0064503639361877824,0.00047778129914666635,0.00018262855521612666,0.08039438473670278,189.75294158627028,0.13
cliffwalking_primary,0.1,200.0,per_group,200,29800,oracle_tail,500,11.870935383221072,0.00343434895978901,0.00021187174185062615,0.0031782494263072323,0.05857567677964613,103.35563043176282,0.0
cliffwalking_primary,0.1,200.0,per_group,200,29800,tail_anchored,500,11.870935383221072,0.005361543394617022,0.00035654422785239237,0.0033929501297266817,0.0732171618516686,142.95866591121728,0.13
cliffwalking_primary,0.1,200.0,per_group,200,29800,tis,500,11.870935383221072,0.004305345882909665,0.0002818417552903593,0.002752763443511512,0.06562302140415474,125.57621446889421,0.13
