environment,alpha,budget_per_group,budget_unit,budget_value,total_budget,comparison,replications,mean_difference,se,ci95_low,ci95_high
cliffwalking_primary,0.1,400.0,per_group,400,59600,learned_occupancy-minus-tis,500,0.001304315255238496,0.00017157532032984876,0.0009680276273919925,0.0016406028830849996
cliffwalking_primary,0.1,400.0,per_group,400,59600,oracle_tail-minus-tis,500,-0.0002107237318854131,5.898141849136725e-05,-0.00032632731212849293,-9.512015164233329e-05
cliffwalking_primary,0.1,400.0,per_group,400,59600,tail_anchored-minus-tis,500,0.00029816786051551134,8.949451570592773e-05,0.00012275860973189298,0.0004735771112991297
cliffwalking_primary,0.1,400.0,per_group,400,59600,uniform-minus-tis,500,0.21499284516442432,0.013914780260507737,0.18771987585382915,0.2422658144750195
frozenlake_8x8,0.2,50.0,per_group,50,2500,learned_occupancy-minus-tis,300,-5.961397463232284e-05,0.003573919747791483,-0.007064496680303629,0.006945268731038984
frozenlake_8x8,0.2,50.0,per_group,50,2500,oracle_tail-minus-tis,300,-0.024183590239437756,0.0029716005695228386,-0.03000792735570252,-0.01835925312317299
frozenlake_8x8,0.2,50.0,per_group,50,2500,tail_anchored-minus-tis,300,-0.007049055937065635,0.0028319695026816525,-0.012599716162321674,-0.001498395711809597
frozenlake_8x8,0.2,50.0,per_group,50,2500,uniform-minus-tis,300,0.00442751411053304,0.003342965786066315,-0.0021246988301569375,0.010979727051223017
frozenlake_8x8,0.2,100.0,per_group,100,5000,learned_occupancy-minus-tis,300,0.005864724762213792,0.0027661033370693466,0.00044316222155787316,0.011286287302869711
frozenlake_8x8,0.2,100.0,per_group,100,5000,oracle_tail-minus-tis,300,-0.01821515630874835,0.002295436408522863,-0.02271421166945316,-0.013716100948043538
frozenlake_8x8,0.2,100.0,per_group,100,5000,tail_anchored-minus-tis,300,-0.004696007734922034,0.0019607986958937204,-0.008539173178873725,-0.0008528422909703424
frozenlake_8x8,0.2,100.0,per_group,100,5000,uniform-minus-tis,300,0.0055565067709394894,0.00245380841110082,0.0007470422851818823,0.010365971256697096
frozenlake_8x8,0.2,200.0,per_group,200,10000,learned_occupancy-minus-tis,300,0.003945422621224757,0.0018882387651349922,0.00024447464156017234,0.007646370600889341
frozenlake_8x8,0.2,200.0,per_group,200,10000,oracle_tail-minus-tis,300,-0.011815484445914338,0.001365749549010708,-0.014492353561975325,-0.00913861532985335
frozenlake_8x8,0.2,200.0,per_group,200,10000,tail_anchored-minus-tis,300,-0.0015610188717126382,0.0014793528718737702,-0.0044605505005852275,0.001338512757159951
frozenlake_8x8,0.2,200.0,per_group,200,10000,uniform-minus-tis,300,0.006696505562698041,0.0017265013326519568,0.003312562950700206,0.010080448174695876
frozenlake_8x8,0.2,400.0,per_group,400,20000,learned_occupancy-minus-tis,300,0.0019400294987646741,0.000950278453385028,7.748373013001931e-05,0.003802575267399329
frozenlake_8x8,0.2,400.0,per_group,400,20000,oracle_tail-minus-tis,300,-0.0033577584151864783,0.0007011954163031511,-0.004732101431140654,-0.0019834153992323023
frozenlake_8x8,0.2,400.0,per_group,400,20000,tail_anchored-minus-tis,300,-0.0006421069658012264,0.0006582067035988177,-0.0019321921048549092,0.0006479781732524563
frozenlake_8x8,0.2,400.0,per_group,400,20000,uniform-minus-tis,300,0.0067255558362812615,0.0011222796951035443,0.0045258876338783146,0.008925224038684208
rainy_taxi,0.1,50.0,per_group,50,1850,learned_occupancy-minus-tis,300,-0.0017762564636429915,0.0006777741992527257,-0.0031046938941783338,-0.00044781903310764934
rainy_taxi,0.1,50.0,per_group,50,1850,oracle_tail-minus-tis,300,-0.0035994110928716924,0.0006818499002227168,-0.004935836897308217,-0.0022629852884351676
rainy_taxi,0.1,50.0,per_group,50,1850,tail_anchored-minus-tis,300,-0.0018665411442308222,0.0005861737453234677,-0.003015441685064819,-0.0007176406033968254
rainy_taxi,0.1,50.0,per_group,50,1850,uniform-minus-tis,300,-0.0017369943170926563,0.0007058041236245373,-0.0031203703993967495,-0.00035361823478856315
rainy_taxi,0.1,100.0,per_group,100,3700,learned_occupancy-minus-tis,300,-4.9168360323488834e-05,0.00015714717886334336,-0.00035717683089564185,0.00025884011024866413
rainy_taxi,0.1,100.0,per_group,100,3700,oracle_tail-minus-tis,300,-0.0008146657923709934,0.00014564306761137813,-0.0011001262048892944,-0.0005292053798526923
rainy_taxi,0.1,100.0,per_group,100,3700,tail_anchored-minus-tis,300,-0.0002510849365623399,0.00014175677542943596,-0.0005289282164040344,2.6758343279354585e-05
rainy_taxi,0.1,100.0,per_group,100,3700,uniform-minus-tis,300,0.0002040191084991875,0.0001739365128582912,-0.00013689645670306324,0.0005449346737014382
rainy_taxi,0.1,200.0,per_group,200,7400,learned_occupancy-minus-tis,300,4.728717330314875e-05,4.3220269715186576e-05,-3.742455533861693e-05,0.00013199890194491443
rainy_taxi,0.1,200.0,per_group,200,7400,oracle_tail-minus-tis,300,-0.00021174699365036982,3.596258471682265e-05,-0.0002822336596953422,-0.00014126032760539744
rainy_taxi,0.1,200.0,per_group,200,7400,tail_anchored-minus-tis,300,-4.324088041794485e-05,3.0079277915574923e-05,-0.0001021962651324717,1.5714504296582004e-05
rainy_taxi,0.1,200.0,per_group,200,7400,uniform-minus-tis,300,0.00018970820749238975,5.8360221906249774e-05,7.532217255614019e-05,0.0003040942424286393
rainy_taxi,0.1,400.0,per_group,400,14800,learned_occupancy-minus-tis,300,7.029172303379882e-05,1.8992917145011297e-05,3.3065605429576674e-05,0.00010751784063802095
rainy_taxi,0.1,400.0,per_group,400,14800,oracle_tail-minus-tis,300,-4.401404074703302e-05,1.0970221265529233e-05,-6.551567442747032e-05,-2.2512407066595727e-05
rainy_taxi,0.1,400.0,per_group,400,14800,tail_anchored-minus-tis,300,2.1802915984569255e-06,1.0041031595351057e-05,-1.7500130328431148e-05,2.1860713525344997e-05
rainy_taxi,0.1,400.0,per_group,400,14800,uniform-minus-tis,300,0.0001358792644943777,2.8877441336422433e-05,7.927947947498974e-05,0.00019247904951376566
